FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.71           ,         , -0.14           ,         , -0.2            ,         , -0.39           ,         , 0               ,        
Basic_DAXPY               , -0.55           ,         , 1               ,OVER_TOL , -0.32           ,         , -0.32           ,         , 0               ,        
Basic_IF_QUAD             , 0.2             ,OVER_TOL , 3.2             ,OVER_TOL , -0.26           ,         , -0.26           ,         , 0               ,        
Basic_INIT3               , -0.43           ,         , 1.9             ,OVER_TOL , -0.46           ,         , -0.45           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.25            ,OVER_TOL , 4.5             ,OVER_TOL , -0.36           ,         , -0.34           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.17           ,         , 2.7             ,OVER_TOL , -0.53           ,         , -0.54           ,         , 0               ,        
Basic_MULADDSUB           , 0               ,         , 2.5             ,OVER_TOL , -0.32           ,         , -0.3            ,         , 0               ,        
Basic_NESTED_INIT         , -0.77           ,         , -0.091          ,         , -0.32           ,         , -0.16           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.98           ,         , -0.89           ,         , 0               ,         , -0.1            ,         , 0               ,        
Basic_TRAP_INT            , -0.82           ,         , -0.045          ,         , 0               ,         , -0.58           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.98           ,         , -0.89           ,         , -0.53           ,         , -0.58           ,         , 1.8e+308        ,        
Col Max                   , 0.25            ,         , 4.5             ,         , -0.2            ,         , -0.1            ,         , -1.8e+308       ,        
Col Avg                   , -0.4            ,         , 1.5             ,         , -0.35           ,         , -0.34           ,         , 0               ,        
Col Std Dev               , 0.18            ,         , 2.8             ,         , 0.0095          ,         , 0.021           ,         , 0               ,        
