FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.0001         ,         , -0.0014         ,         , -0.0055         ,         , -0.0049         ,        
Apps_ENERGY               , 0.0025          ,         , 0.00017         ,         , 0               ,         , -0.0012         ,        
Apps_FIR                  , -5.6e-05        ,         , -0.078          ,         , 0               ,         , 0.051           ,        
Apps_HALOEXCHANGE         , 0.087           ,         , 0.14            ,OVER_TOL , 0               ,         , -0.0092         ,        
Apps_LTIMES               , 0.0019          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00029         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , 6.5e-05         ,         , 0.0002          ,         , 0               ,         , 0.014           ,        
Apps_VOL3D                , 0.00024         ,         , 0.0082          ,         , 0               ,         , -0.19           ,        
Basic_DAXPY               , 0.046           ,         , 0.063           ,         , 0.00053         ,         , 0.0011          ,        
Basic_IF_QUAD             , -0.0081         ,         , 0.0022          ,         , 0.18            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , -0.00022        ,         , -0.00016        ,         , 5e-05           ,         , -0.00084        ,        
Basic_INIT_VIEW1D         , 9.2e-05         ,         , 0.00024         ,         , -0.00095        ,         , 0.0039          ,        
Basic_INIT_VIEW1D_OFFSET  , -8.7e-05        ,         , 1.1             ,OVER_TOL , 0.0027          ,         , 0.007           ,        
Basic_MULADDSUB           , -0.0017         ,         , -0.0016         ,         , 0.18            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0083          ,         , 0.0029          ,         , 0.0075          ,        
Basic_PI_ATOMIC           , -3.1e-05        ,         , 1.5             ,OVER_TOL , -0.079          ,         , -0.11           ,        
Basic_REDUCE3_INT         , -0.00012        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.67            ,OVER_TOL
Basic_TRAP_INT            , -9.4e-05        ,         , -0.00017        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 0.001           ,         , -0.12           ,         , 0               ,         , 0.0027          ,        
Lcals_EOS                 , 0.0012          ,         , 0.0009          ,         , 0               ,         , 0.00025         ,        
Lcals_FIRST_DIFF          , 0.026           ,         , 0.027           ,         , 0               ,         , 0.00012         ,        
Lcals_FIRST_MIN           , -0.13           ,         , 0.081           ,         , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.017           ,         , 0.019           ,         , 0               ,         , 0.051           ,        
Lcals_GEN_LIN_RECUR       , 8.1e-05         ,         , 0.00016         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.001           ,         , 0.0012          ,         , 0               ,         , -0.0019         ,        
Lcals_HYDRO_2D            , -0.0011         ,         , 0.008           ,         , 0               ,         , 0.086           ,        
Lcals_INT_PREDICT         , -0.00093        ,         , -0.0011         ,         , 0               ,         , 0.0034          ,        
Lcals_PLANCKIAN           , 2e-05           ,         , 0.00011         ,         , 0               ,         , -0.0096         ,        
Lcals_TRIDIAG_ELIM        , 0.00022         ,         , 0.00047         ,         , 0               ,         , 0.0057          ,        
Stream_ADD                , 0.00087         ,         , 0.00082         ,         , -0.0019         ,         , 0.0006          ,        
Stream_COPY               , 0.00022         ,         , -0.3            ,         , -3e-05          ,         , 0.00061         ,        
Stream_DOT                , -0.00022        ,         , 0.009           ,         , 0               ,         , -0.21           ,        
Stream_MUL                , 0.016           ,         , 0.019           ,         , 0.0018          ,         , 0.0018          ,        
Stream_TRIAD              , -0.00057        ,         , 0.00024         ,         , 0.0043          ,         , -0.00045        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.13           ,         , -0.3            ,         , -0.079          ,         , -0.44           ,        
Col Max                   , 0.087           ,         , 8.8             ,         , 0.29            ,         , 0.67            ,        
Col Avg                   , 0.0034          ,         , 0.34            ,         , 0.057           ,         , 0.012           ,        
Col Std Dev               , 0.0009          ,         , 2.3             ,         , 0.012           ,         , 0.033           ,        
