FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Apps_DEL_DOT_VEC_2D       , 0.00074         ,         , -0.0022         ,         , -0.034          ,         , 0.0019          ,         , 0               ,        
Apps_ENERGY               , -0.0013         ,         , -0.064          ,         , 0               ,         , 0.011           ,         , 0               ,        
Apps_FIR                  , -0.00056        ,         , -0.082          ,         , 0               ,         , 0.11            ,OVER_TOL , 0               ,        
Apps_HALOEXCHANGE         , -0.3            ,         , -0.28           ,         , 0               ,         , -0.0055         ,         , -0.9            ,        
Apps_LTIMES               , -0.00074        ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_LTIMES_NOVIEW        , -0.00042        ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_PRESSURE             , -0.072          ,         , -0.075          ,         , 0               ,         , -0.0095         ,         , 0               ,        
Apps_VOL3D                , -0.00055        ,         , 0.004           ,         , 0               ,         , -0.13           ,         , 0               ,        
Basic_ATOMIC_PI           , -0.0002         ,         , 1.5             ,OVER_TOL , -0.0022         ,         , 0.021           ,         , 0               ,        
Basic_DAXPY               , -0.00023        ,         , -0.0031         ,         , -0.0091         ,         , -0.0054         ,         , 0               ,        
Basic_IF_QUAD             , 0.0023          ,         , 0.0018          ,         , 0.077           ,         , 0.084           ,         , 0               ,        
Basic_INIT3               , 0.0011          ,         , 0.003           ,         , 0.004           ,         , 0.0021          ,         , 0               ,        
Basic_INIT_VIEW1D         , 4.9e-05         ,         , 0.00029         ,         , 0.00086         ,         , -0.013          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -2e-05          ,         , 1.1             ,OVER_TOL , 0.0011          ,         , 0.0046          ,         , 0               ,        
Basic_MULADDSUB           , 7.1e-05         ,         , 0.00083         ,         , 0.077           ,         , 0.11            ,OVER_TOL , 0               ,        
Basic_NESTED_INIT         , 2.9e-05         ,         , 0.0025          ,         , 0.0007          ,         , 0.00017         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0006         ,         , 8.7             ,OVER_TOL , 0               ,         , 0.096           ,         , 0               ,        
Basic_TRAP_INT            , 2.5e-05         ,         , 4.1e-05         ,         , 0               ,         , -0.41           ,         , 0               ,        
Lcals_DIFF_PREDICT        , 0.00066         ,         , -0.14           ,         , 0               ,         , 0.0016          ,         , 0               ,        
Lcals_EOS                 , 0.00022         ,         , 0.0015          ,         , 0               ,         , 0.0053          ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0011          ,         , 0.00032         ,         , 0               ,         , 4.5e-05         ,         , 0               ,        
Lcals_FIRST_MIN           , 0.064           ,         , 0.24            ,OVER_TOL , 0               ,         , -0.43           ,         , 0               ,        
Lcals_FIRST_SUM           , -0.00032        ,         , 0.0038          ,         , 0               ,         , 0.0018          ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.00039        ,         , -0.00063        ,         , 0               ,         , 0.01            ,         , 0               ,        
Lcals_HYDRO_1D            , 0.0011          ,         , 0.0024          ,         , 0               ,         , 0.0036          ,         , 0               ,        
Lcals_HYDRO_2D            , -3.8e-05        ,         , 0.0079          ,         , 0               ,         , 0.091           ,         , 0               ,        
Lcals_INT_PREDICT         , 0.018           ,         , 0.02            ,         , 0               ,         , 0.015           ,         , 0               ,        
Lcals_PLANCKIAN           , -9.6e-05        ,         , -0.00011        ,         , 0               ,         , -0.016          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.0029         ,         , -0.0023         ,         , 0               ,         , 0.029           ,         , 0               ,        
Stream_ADD                , 0.00039         ,         , 0.0012          ,         , 0.0012          ,         , 0.0022          ,         , 0               ,        
Stream_COPY               , 0.00088         ,         , -0.23           ,         , 3.8e-05         ,         , 0.0014          ,         , 0               ,        
Stream_DOT                , -0.00073        ,         , -6.7e-05        ,         , 0               ,         , -0.22           ,         , 0               ,        
Stream_MUL                , 0.0033          ,         , 0.0044          ,         , 0.0014          ,         , 0.0037          ,         , 0               ,        
Stream_TRIAD              , 0.0022          ,         , 0.0033          ,         , -0.00072        ,         , 0.00016         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.3            ,         , -0.28           ,         , -0.034          ,         , -0.43           ,         , -0.9            ,        
Col Max                   , 0.064           ,         , 8.7             ,         , 0.29            ,         , 0.31            ,         , -0.9            ,        
Col Avg                   , -0.0085         ,         , 0.32            ,         , 0.046           ,         , -0.00024        ,         , -0.9            ,        
Col Std Dev               , 0.0029          ,         , 2.2             ,         , 0.0097          ,         , 0.02            ,         , 0               ,        
