Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            ,    1.000 ,    Not run ,    0.952 ,   Not run ,     Not run ,    90.608 ,        22.357 ,        Not run
Algorithm_SORTPAIRS       ,    1.000 ,    Not run ,    0.932 ,   Not run ,     Not run ,    87.194 ,           inf ,        Not run
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      1.001 ,    1.002 ,   189.351 ,     190.856 ,   189.793 ,        19.425 ,        Not run
Apps_ENERGY               ,    1.000 ,      1.000 ,    1.001 ,    35.758 ,     Not run ,    35.731 ,        10.651 ,        Not run
Apps_FIR                  ,    1.000 ,      0.988 ,    1.083 ,   370.450 ,     Not run ,   353.492 ,        67.620 ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      0.944 ,    0.907 ,     0.594 ,     Not run ,     0.603 ,         0.022 ,        Not run
Apps_LTIMES               ,    1.000 ,      1.000 ,    0.936 ,   125.791 ,     106.929 ,   104.363 ,        65.144 ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      1.001 ,    0.947 ,   125.844 ,     107.411 ,   104.110 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.000 ,    0.999 ,    33.806 ,     Not run ,    33.617 ,         7.750 ,        Not run
Apps_VOL3D                ,    1.000 ,      1.001 ,    0.993 ,   257.542 ,     Not run ,   305.274 ,        88.103 ,        Not run
Basic_DAXPY               ,    1.000 ,      0.973 ,    0.968 ,    17.663 ,      17.631 ,    17.621 ,         4.101 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      0.981 ,    0.984 ,   157.280 ,     131.892 ,   132.584 ,        57.736 ,        Not run
Basic_INIT3               ,    1.000 ,      1.000 ,    1.000 ,    21.404 ,      21.315 ,    21.413 ,         7.155 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.000 ,    1.000 ,    60.619 ,      60.664 ,    60.319 ,         5.283 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    0.476 ,    57.486 ,      57.278 ,    57.036 ,         4.925 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.003 ,    1.002 ,    22.309 ,      18.280 ,    18.301 ,         7.454 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.000 ,    1.055 ,    85.744 ,      85.490 ,    78.975 ,         7.291 ,        Not run
Basic_PI_ATOMIC           ,    1.000 ,      1.000 ,    0.397 ,     1.078 ,       1.078 ,     1.133 ,         0.745 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.000 ,    0.105 ,     8.879 ,     Not run ,     7.357 ,         1.838 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.000 ,    1.000 ,   114.967 ,     Not run ,   179.125 ,        26.778 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.000 ,    1.138 ,    15.728 ,     Not run ,    15.771 ,         9.977 ,        Not run
Lcals_EOS                 ,    1.000 ,      0.998 ,    0.999 ,    45.187 ,     Not run ,    45.109 ,        13.144 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      0.984 ,    0.981 ,    23.670 ,     Not run ,    23.648 ,         3.906 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.000 ,    0.805 ,    11.918 ,     Not run ,    21.569 ,         3.339 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      0.986 ,    0.981 ,    23.292 ,     Not run ,    22.183 ,         3.891 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.000 ,    1.000 ,    24.445 ,     Not run ,    27.068 ,         8.355 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.001 ,    0.998 ,    26.456 ,     Not run ,    26.454 ,         6.124 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      0.998 ,    1.001 ,    64.080 ,     Not run ,    63.256 ,        25.772 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.001 ,    1.002 ,    26.351 ,     Not run ,    26.335 ,        13.626 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.000 ,    1.000 ,   508.310 ,     Not run ,   510.912 ,       166.756 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.000 ,    1.000 ,    22.178 ,     Not run ,    22.039 ,         6.438 ,        Not run
Stream_ADD                ,    1.000 ,      0.999 ,    1.000 ,    21.922 ,      21.903 ,    21.898 ,         5.067 ,        Not run
Stream_COPY               ,    1.000 ,      0.999 ,    1.430 ,    29.034 ,      29.021 ,    29.024 ,         4.767 ,        Not run
Stream_DOT                ,    1.000 ,      1.000 ,    0.983 ,    31.758 ,     Not run ,    41.163 ,         7.477 ,        Not run
Stream_MUL                ,    1.000 ,      0.977 ,    0.972 ,    22.522 ,      22.470 ,    22.499 ,         3.747 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.999 ,    0.999 ,    20.298 ,      20.290 ,    20.295 ,         4.682 ,        Not run
