FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.059           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.062           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.00044        ,         , -0.0018         ,         , 0.011           ,         , -0.0017         ,        
Apps_ENERGY               , 0.0012          ,         , 0.00079         ,         , 0               ,         , 0.0028          ,        
Apps_FIR                  , 8.6e-05         ,         , -0.077          ,         , 0               ,         , 0.056           ,        
Apps_HALOEXCHANGE         , 0.03            ,         , 0.048           ,         , 0               ,         , -0.0081         ,        
Apps_LTIMES               , -0.00053        ,         , 0.069           ,         , 0.17            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.0011         ,         , 0.055           ,         , 0.17            ,OVER_TOL , 0.2             ,OVER_TOL
Apps_PRESSURE             , 0.003           ,         , 0.00056         ,         , 0               ,         , 0.0063          ,        
Apps_VOL3D                , 0.00014         ,         , 0.0074          ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.019           ,         , 0.027           ,         , 0.0014          ,         , 0.0011          ,        
Basic_IF_QUAD             , 0.02            ,         , 0.012           ,         , 0.18            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_INIT3               , 0.0032          ,         , 0.0002          ,         , -0.0034         ,         , -0.00041        ,        
Basic_INIT_VIEW1D         , -4.3e-05        ,         , 7e-05           ,         , -0.0003         ,         , 0.0043          ,        
Basic_INIT_VIEW1D_OFFSET  , 9.3e-05         ,         , 1.1             ,OVER_TOL , 0.0039          ,         , 0.0029          ,        
Basic_MULADDSUB           , -0.0019         ,         , -0.0014         ,         , 0.18            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , 0.00012         ,         , -0.053          ,         , 0.0045          ,         , 0.045           ,        
Basic_PI_ATOMIC           , 0.00015         ,         , 1.5             ,OVER_TOL , -0.00024        ,         , 0.00033         ,        
Basic_REDUCE3_INT         , -0.00015        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.21            ,OVER_TOL
Basic_TRAP_INT            , -0.0034         ,         , -0.0035         ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , -0.00082        ,         , -0.12           ,         , 0               ,         , -0.0042         ,        
Lcals_EOS                 , 0.0016          ,         , 0.0013          ,         , 0               ,         , -0.001          ,        
Lcals_FIRST_DIFF          , 0.017           ,         , 0.017           ,         , 0               ,         , 0.00025         ,        
Lcals_FIRST_MIN           , -0.00017        ,         , 0.25            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.0093          ,         , 0.0096          ,         , 0               ,         , 0.049           ,        
Lcals_GEN_LIN_RECUR       , -1.2e-06        ,         , -0.00041        ,         , 0               ,         , -0.097          ,        
Lcals_HYDRO_1D            , -0.0011         ,         , -0.00094        ,         , 0               ,         , 0.00073         ,        
Lcals_HYDRO_2D            , -0.00052        ,         , -0.0002         ,         , 0               ,         , 0.025           ,        
Lcals_INT_PREDICT         , -0.0026         ,         , -0.0028         ,         , 0               ,         , -0.0021         ,        
Lcals_PLANCKIAN           , -0.00049        ,         , -0.00027        ,         , 0               ,         , -0.0027         ,        
Lcals_TRIDIAG_ELIM        , -0.0025         ,         , -0.0019         ,         , 0               ,         , 0.0046          ,        
Stream_ADD                , -0.00048        ,         , -0.0023         ,         , 0.0016          ,         , 0.0019          ,        
Stream_COPY               , 0.004           ,         , -0.21           ,         , 9e-06           ,         , -4.3e-05        ,        
Stream_DOT                , 0.00043         ,         , 0.017           ,         , 0               ,         , -0.23           ,        
Stream_MUL                , 0.0086          ,         , 0.0098          ,         , 0.0015          ,         , 0.0024          ,        
Stream_TRIAD              , 0.0003          ,         , 0.00041         ,         , 0.00028         ,         , 0.00019         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0034         ,         , -0.21           ,         , -0.0034         ,         , -0.44           ,        
Col Max                   , 0.03            ,         , 8.5             ,         , 0.18            ,         , inf             ,        
Col Avg                   , 0.003           ,         , 0.31            ,         , 0.048           ,         , inf             ,        
Col Std Dev               , 5.6e-05         ,         , 2               ,         , 0.006           ,         , nan             ,        
