Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      1.000 ,    1.005 ,   190.088 ,     189.600 ,   190.144 ,       Not run ,        Not run
Apps_ENERGY               ,    1.000 ,      0.998 ,    1.000 ,    35.991 ,     Not run ,    35.965 ,       Not run ,        Not run
Apps_FIR                  ,    1.000 ,      1.001 ,    1.085 ,   371.078 ,     Not run ,   354.418 ,       Not run ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      0.628 ,    0.612 ,     0.658 ,     Not run ,     0.664 ,       Not run ,        Not run
Apps_LTIMES               ,    1.000 ,      0.999 ,    0.942 ,   110.841 ,      86.123 ,    84.220 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      0.999 ,    0.941 ,   110.679 ,      85.982 ,    84.242 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.001 ,    1.006 ,    34.297 ,     Not run ,    33.898 ,       Not run ,        Not run
Apps_VOL3D                ,    1.000 ,      1.000 ,    0.992 ,   255.096 ,     Not run ,   296.308 ,       Not run ,        Not run
Basic_DAXPY               ,    1.000 ,      0.967 ,    0.955 ,    17.800 ,      17.798 ,    17.770 ,         7.185 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.005 ,    0.995 ,   162.151 ,     137.145 ,   136.797 ,        86.943 ,        Not run
Basic_INIT3               ,    1.000 ,      1.000 ,    1.000 ,    21.765 ,      21.779 ,    21.763 ,        11.189 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      0.999 ,    1.000 ,    60.828 ,      60.851 ,    60.497 ,        10.100 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    0.476 ,    56.602 ,      56.409 ,    56.075 ,         9.271 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.005 ,    1.005 ,    22.860 ,      18.443 ,    18.355 ,        11.690 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      0.946 ,    0.992 ,    55.303 ,      55.092 ,    54.948 ,        12.894 ,        Not run
Basic_PI_ATOMIC           ,    1.000 ,      1.000 ,    0.397 ,     1.123 ,       1.123 ,     1.135 ,         0.967 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.000 ,    0.102 ,     4.068 ,     Not run ,     2.273 ,         5.090 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.000 ,    1.000 ,   120.013 ,     Not run ,   185.386 ,        77.112 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.001 ,    1.140 ,    15.632 ,     Not run ,    15.759 ,        10.367 ,        Not run
Lcals_EOS                 ,    1.000 ,      0.999 ,    0.999 ,    45.100 ,     Not run ,    45.020 ,        21.143 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      0.971 ,    0.969 ,    23.629 ,     Not run ,    23.612 ,         7.443 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.020 ,    0.793 ,    12.813 ,     Not run ,    22.147 ,         8.164 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      0.977 ,    0.973 ,    23.734 ,     Not run ,    22.561 ,         7.490 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.001 ,    1.000 ,    24.492 ,     Not run ,    27.303 ,        13.191 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      0.999 ,    0.998 ,    26.577 ,     Not run ,    26.557 ,        10.773 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.001 ,    0.992 ,    63.306 ,     Not run ,    58.668 ,        37.043 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.000 ,    0.999 ,    26.351 ,     Not run ,    26.353 ,        18.591 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.000 ,    1.000 ,   506.427 ,     Not run ,   508.035 ,       259.429 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.000 ,    1.000 ,    22.424 ,     Not run ,    22.240 ,        10.469 ,        Not run
Stream_ADD                ,    1.000 ,      1.000 ,    1.000 ,    21.839 ,      21.836 ,    21.798 ,         8.767 ,        Not run
Stream_COPY               ,    1.000 ,      0.999 ,    1.423 ,    29.081 ,      29.061 ,    29.039 ,         9.136 ,        Not run
Stream_DOT                ,    1.000 ,      1.000 ,    0.990 ,    32.920 ,     Not run ,    41.749 ,        18.421 ,        Not run
Stream_MUL                ,    1.000 ,      0.984 ,    0.981 ,    23.193 ,      23.141 ,    23.113 ,         7.257 ,        Not run
Stream_TRIAD              ,    1.000 ,      1.000 ,    1.000 ,    20.410 ,      20.410 ,    20.405 ,         8.197 ,        Not run
