FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.061           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.063           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.00047        ,         , -0.0035         ,         , -0.015          ,         , -0.0046         ,        
Apps_ENERGY               , 0.0022          ,         , -0.0026         ,         , 0               ,         , 0.0003          ,        
Apps_FIR                  , -0.012          ,         , -0.087          ,         , 0               ,         , 0.044           ,        
Apps_HALOEXCHANGE         , 0.1             ,OVER_TOL , 0.28            ,OVER_TOL , 0               ,         , -0.012          ,        
Apps_LTIMES               , -0.0013         ,         , 0.069           ,         , 0.17            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.00095        ,         , 0.055           ,         , 0.17            ,OVER_TOL , 0.2             ,OVER_TOL
Apps_PRESSURE             , -6e-05          ,         , 0.0013          ,         , 0               ,         , 0.0078          ,        
Apps_VOL3D                , 0.00021         ,         , 0.0079          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.019           ,         , 0.039           ,         , 0.0013          ,         , 0.0015          ,        
Basic_IF_QUAD             , -0.0065         ,         , 0.0061          ,         , 0.16            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_INIT3               , -3.8e-05        ,         , 9.2e-05         ,         , 0.0019          ,         , -0.0025         ,        
Basic_INIT_VIEW1D         , 0.00055         ,         , 5.5e-05         ,         , 7.5e-05         ,         , 0.0028          ,        
Basic_INIT_VIEW1D_OFFSET  , 8.7e-06         ,         , 1.1             ,OVER_TOL , 0.004           ,         , 0.0056          ,        
Basic_MULADDSUB           , -0.0019         ,         , -0.0019         ,         , 0.18            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_NESTED_INIT         , 4.4e-05         ,         , -0.054          ,         , 0.0042          ,         , 0.096           ,        
Basic_PI_ATOMIC           , 2.1e-05         ,         , 1.5             ,OVER_TOL , -0.023          ,         , -0.051          ,        
Basic_REDUCE3_INT         , 1.9e-05         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.22            ,OVER_TOL
Basic_TRAP_INT            , 3.2e-05         ,         , -4e-05          ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 0.00016         ,         , -0.12           ,         , 0               ,         , -0.015          ,        
Lcals_EOS                 , 7.9e-05         ,         , -0.00016        ,         , 0               ,         , -0.00043        ,        
Lcals_FIRST_DIFF          , 0.018           ,         , 0.025           ,         , 0               ,         , -0.00068        ,        
Lcals_FIRST_MIN           , 0.013           ,         , 0.26            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.022           ,         , 0.029           ,         , 0               ,         , 0.054           ,        
Lcals_GEN_LIN_RECUR       , 0.00024         ,         , -0.00013        ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , -0.00085        ,         , 0.0013          ,         , 0               ,         , -0.00062        ,        
Lcals_HYDRO_2D            , 0.0039          ,         , 0.0013          ,         , 0               ,         , 0.039           ,        
Lcals_INT_PREDICT         , -0.00039        ,         , -0.00028        ,         , 0               ,         , 0.001           ,        
Lcals_PLANCKIAN           , -6.4e-05        ,         , 0.0012          ,         , 0               ,         , 0.0019          ,        
Lcals_TRIDIAG_ELIM        , 0.00037         ,         , 0.00064         ,         , 0               ,         , 0.0023          ,        
Stream_ADD                , -0.0014         ,         , -0.0011         ,         , 0.00099         ,         , 0.0012          ,        
Stream_COPY               , 0.0052          ,         , -0.21           ,         , 3.8e-05         ,         , 0.00017         ,        
Stream_DOT                , -0.00011        ,         , 0.016           ,         , 0               ,         , -0.21           ,        
Stream_MUL                , 0.021           ,         , 0.025           ,         , 0.0022          ,         , 0.002           ,        
Stream_TRIAD              , 0.00059         ,         , 0.00053         ,         , -9.9e-05        ,         , 2.3e-05         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.012          ,         , -0.21           ,         , -0.023          ,         , -0.44           ,        
Col Max                   , 0.1             ,         , 8.8             ,         , 0.18            ,         , inf             ,        
Col Avg                   , 0.0054          ,         , 0.33            ,         , 0.044           ,         , inf             ,        
Col Std Dev               , 0.00034         ,         , 2.1             ,         , 0.006           ,         , nan             ,        
