FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.06            ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.057           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.00061        ,         , -0.0015         ,         , -0.016          ,         , -0.0035         ,        
Apps_ENERGY               , 0.00021         ,         , -0.00066        ,         , 0               ,         , 0.0011          ,        
Apps_FIR                  , 5.3e-05         ,         , -0.077          ,         , 0               ,         , 0.044           ,        
Apps_HALOEXCHANGE         , 0.076           ,         , 0.15            ,OVER_TOL , 0               ,         , -0.013          ,        
Apps_LTIMES               , -0.00027        ,         , 0.07            ,         , 0.17            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.00087        ,         , 0.056           ,         , 0.17            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_PRESSURE             , 0.00022         ,         , 0.00052         ,         , 0               ,         , 0.0048          ,        
Apps_VOL3D                , 0.00024         ,         , 0.0079          ,         , 0               ,         , -0.18           ,        
Basic_DAXPY               , 0.016           ,         , 0.022           ,         , 0.0006          ,         , 0.0002          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.011           ,         , 0.17            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_INIT3               , 0.00015         ,         , 0.00034         ,         , -0.0026         ,         , -0.00097        ,        
Basic_INIT_VIEW1D         , -7.2e-05        ,         , 8.1e-05         ,         , -0.0012         ,         , -0.00011        ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00011        ,         , 1.1             ,OVER_TOL , 0.003           ,         , 0.0044          ,        
Basic_MULADDSUB           , -0.0018         ,         , -0.0014         ,         , 0.17            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_NESTED_INIT         , -0.0001         ,         , -0.052          ,         , 0.0034          ,         , 0.089           ,        
Basic_PI_ATOMIC           , 0.00033         ,         , 1.5             ,OVER_TOL , -0.038          ,         , -0.037          ,        
Basic_REDUCE3_INT         , -0.00018        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.22            ,OVER_TOL
Basic_TRAP_INT            , -7.2e-05        ,         , -0.00012        ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , -0.00096        ,         , -0.12           ,         , 0               ,         , -0.0037         ,        
Lcals_EOS                 , 0.0014          ,         , 0.0011          ,         , 0               ,         , 0.0016          ,        
Lcals_FIRST_DIFF          , 0.025           ,         , 0.028           ,         , 0               ,         , -0.0012         ,        
Lcals_FIRST_MIN           , -0.0012         ,         , 0.28            ,OVER_TOL , 0               ,         , -0.45           ,        
Lcals_FIRST_SUM           , 0.023           ,         , 0.028           ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , 8.5e-05         ,         , -8e-05          ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , -0.00067        ,         , 0.001           ,         , 0               ,         , -0.0011         ,        
Lcals_HYDRO_2D            , 0.0012          ,         , -0.00034        ,         , 0               ,         , 0.026           ,        
Lcals_INT_PREDICT         , -0.00022        ,         , -0.00019        ,         , 0               ,         , 0.0013          ,        
Lcals_PLANCKIAN           , -3.1e-05        ,         , 5.1e-05         ,         , 0               ,         , -0.0076         ,        
Lcals_TRIDIAG_ELIM        , 2.9e-06         ,         , 0.00044         ,         , 0               ,         , 0.0039          ,        
Stream_ADD                , -0.0019         ,         , -0.0019         ,         , 0.0012          ,         , 0.001           ,        
Stream_COPY               , 0.0064          ,         , -0.18           ,         , -0.00046        ,         , -0.00097        ,        
Stream_DOT                , -1.3e-05        ,         , 0.014           ,         , 0               ,         , -0.23           ,        
Stream_MUL                , 0.012           ,         , 0.013           ,         , 0.0021          ,         , 0.002           ,        
Stream_TRIAD              , 0.0012          ,         , 0.0014          ,         , -0.00019        ,         , -0.0013         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0019         ,         , -0.18           ,         , -0.038          ,         , -0.45           ,        
Col Max                   , 0.076           ,         , 8.5             ,         , 0.17            ,         , inf             ,        
Col Avg                   , 0.0051          ,         , 0.32            ,         , 0.042           ,         , inf             ,        
Col Std Dev               , 0.0002          ,         , 2               ,         , 0.0059          ,         , nan             ,        
