FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.079          ,         , 0.46            ,OVER_TOL , -0.013          ,         , -0.046          ,         , 0               ,        
Basic_DAXPY               , -0.81           ,         , -0.2            ,         , -0.015          ,         , -0.013          ,         , 0               ,        
Basic_IF_QUAD             , -0.68           ,         , -0.55           ,         , -0.048          ,         , -0.018          ,         , 0               ,        
Basic_INIT3               , -0.73           ,         , -0.24           ,         , -0.027          ,         , 0.0072          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.12            ,OVER_TOL , 0               ,         , -0.018          ,         , -0.014          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.11           ,         , 2.9             ,OVER_TOL , -0.064          ,         , -0.045          ,         , 0               ,        
Basic_MULADDSUB           , -0.78           ,         , -0.73           ,         , -0.029          ,         , 0.14            ,OVER_TOL , 0               ,        
Basic_NESTED_INIT         , -0.52           ,         , -0.46           ,         , -0.011          ,         , -0.014          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.84           ,         , -0.87           ,         , 0               ,         , 0.041           ,         , 0               ,        
Basic_TRAP_INT            , -0.23           ,         , -0.23           ,         , 0               ,         , -0.0033         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.84           ,         , -0.87           ,         , -0.064          ,         , -0.046          ,         , 1.8e+308        ,        
Col Max                   , 0.12            ,         , 2.9             ,         , -0.011          ,         , 0.14            ,         , -1.8e+308       ,        
Col Avg                   , -0.47           ,         , 0.0059          ,         , -0.028          ,         , 0.0037          ,         , 0               ,        
Col Std Dev               , 0.12            ,         , 1               ,         , 0.00031         ,         , 0.0027          ,         , 0               ,        
