FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 2.7e-05         ,         , 1.5             ,OVER_TOL , -0.00035        ,         , 0.017           ,         , 0               ,        
Basic_DAXPY               , -6.9e-05        ,         , 0.00027         ,         , -0.025          ,         , 0.022           ,         , 0               ,        
Basic_IF_QUAD             , 0.02            ,         , 0.022           ,         , 0.087           ,         , 0.091           ,         , 0               ,        
Basic_INIT3               , 8.7e-06         ,         , -0.00053        ,         , 0.0023          ,         , 0.0024          ,         , 0               ,        
Basic_INIT_VIEW1D         , -1.4e-05        ,         , 0.00022         ,         , 0.00088         ,         , 0.0015          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00051        ,         , 1.1             ,OVER_TOL , 0.00093         ,         , 0.038           ,         , 0               ,        
Basic_MULADDSUB           , -5.1e-05        ,         , 0.00081         ,         , 0.076           ,         , 0.071           ,         , 0               ,        
Basic_NESTED_INIT         , -8.1e-05        ,         , 0.0026          ,         , 0.0017          ,         , 0.0011          ,         , 0               ,        
Basic_REDUCE3_INT         , -7.6e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.11            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 5.7e-05         ,         , -2.4e-05        ,         , 0               ,         , -0.39           ,         , 0               ,        
Stream_ADD                , 0.0038          ,         , 0.0059          ,         , 0.0018          ,         , 0.0023          ,         , 0               ,        
Stream_COPY               , 0.00079         ,         , -0.23           ,         , -0.00037        ,         , 0.0005          ,         , 0               ,        
Stream_DOT                , -0.00021        ,         , 0.0096          ,         , 0               ,         , -0.19           ,         , 0               ,        
Stream_MUL                , 0.022           ,         , 0.025           ,         , 0.0025          ,         , 0.0037          ,         , 0               ,        
Stream_TRIAD              , 3.3e-05         ,         , 0.00058         ,         , 0.00053         ,         , 9.4e-05         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00051        ,         , -0.23           ,         , -0.025          ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.022           ,         , 8.5             ,         , 0.087           ,         , 0.11            ,         , -1.8e+308       ,        
Col Avg                   , 0.0031          ,         , 0.73            ,         , 0.012           ,         , -0.015          ,         , 0               ,        
Col Std Dev               , 5.2e-05         ,         , 4.6             ,         , 0.001           ,         , 0.014           ,         , 0               ,        
