FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.24           ,         , 1.7             ,OVER_TOL , -0.0078         ,         , -0.04           ,         , 0               ,        
Basic_DAXPY               , -0.27           ,         , 0.75            ,OVER_TOL , 0.011           ,         , -0.01           ,         , 0               ,        
Basic_IF_QUAD             , -0.69           ,         , -0.23           ,         , -0.026          ,         , -0.0089         ,         , 0               ,        
Basic_INIT3               , -0.63           ,         , 0.56            ,OVER_TOL , -0.023          ,         , 0.02            ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.015           ,         , 2.3             ,OVER_TOL , -0.027          ,         , 0.007           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.17           ,         , 1.6             ,OVER_TOL , -0.041          ,         , 0.0071          ,         , 0               ,        
Basic_MULADDSUB           , -0.78           ,         , -0.77           ,         , -0.045          ,         , 0.013           ,         , 0               ,        
Basic_NESTED_INIT         , -0.74           ,         , -0.72           ,         , -0.08           ,         , -0.085          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.63           ,         , -0.72           ,         , 0               ,         , -0.0069         ,         , 0               ,        
Basic_TRAP_INT            , -0.16           ,         , 0.17            ,OVER_TOL , 0               ,         , 0.086           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.78           ,         , -0.77           ,         , -0.08           ,         , -0.085          ,         , 1.8e+308        ,        
Col Max                   , 0.015           ,         , 2.3             ,         , 0.011           ,         , 0.086           ,         , -1.8e+308       ,        
Col Avg                   , -0.43           ,         , 0.47            ,         , -0.03           ,         , -0.0018         ,         , 0               ,        
Col Std Dev               , 0.077           ,         , 1.1             ,         , 0.00063         ,         , 0.0017          ,         , 0               ,        
