FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.074          ,         , 0.43            ,OVER_TOL , -0.043          ,         , -0.12           ,         , 0               ,        
Basic_DAXPY               , -0.41           ,         , 2.2             ,OVER_TOL , -0.037          ,         , -0.04           ,         , 0               ,        
Basic_IF_QUAD             , -0.73           ,         , -0.097          ,         , -0.033          ,         , 0.029           ,         , 0               ,        
Basic_INIT3               , -0.7            ,         , -0.12           ,         , -0.025          ,         , 0.02            ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.72           ,         , 0.013           ,         , -0.016          ,         , -0.0083         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.056          ,         , 2.5             ,OVER_TOL , -0.041          ,         , -0.031          ,         , 0               ,        
Basic_MULADDSUB           , -0.76           ,         , -0.81           ,         , -0.018          ,         , 0.032           ,         , 0               ,        
Basic_NESTED_INIT         , -0.76           ,         , -0.77           ,         , -0.03           ,         , -0.046          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.62           ,         , -0.75           ,         , 0               ,         , 0.0053          ,         , 0               ,        
Basic_TRAP_INT            , -0.26           ,         , -0.015          ,         , 0               ,         , 0.06            ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.76           ,         , -0.81           ,         , -0.043          ,         , -0.12           ,         , 1.8e+308        ,        
Col Max                   , -0.056          ,         , 2.5             ,         , -0.016          ,         , 0.06            ,         , -1.8e+308       ,        
Col Avg                   , -0.51           ,         , 0.26            ,         , -0.03           ,         , -0.0095         ,         , 0               ,        
Col Std Dev               , 0.074           ,         , 1.2             ,         , 9.1e-05         ,         , 0.0023          ,         , 0               ,        
