FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00061         ,         , 1.5             ,OVER_TOL , 0.0022          ,         , 0.031           ,         , 0               ,        
Basic_DAXPY               , 8.4e-05         ,         , -0.0016         ,         , -0.014          ,         , 0.0048          ,         , 0               ,        
Basic_IF_QUAD             , 0.018           ,         , 0.018           ,         , 0.077           ,         , 0.084           ,         , 0               ,        
Basic_INIT3               , 0.0014          ,         , -0.00089        ,         , -0.0048         ,         , 0.0099          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00047         ,         , 0.00026         ,         , -0.00073        ,         , 0.00045         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00038         ,         , 1.1             ,OVER_TOL , 0.0014          ,         , 0.0033          ,         , 0               ,        
Basic_MULADDSUB           , 5.4e-05         ,         , 0.00064         ,         , 0.038           ,         , 0.033           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0024         ,         , 0.00028         ,         , 0.00048         ,         , 0.00028         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00044        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.22            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.00016        ,         , -0.00014        ,         , 0               ,         , -0.38           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0024         ,         , -0.0016         ,         , -0.014          ,         , -0.38           ,         , 1.8e+308        ,        
Col Max                   , 0.018           ,         , 8.5             ,         , 0.077           ,         , 0.22            ,         , -1.8e+308       ,        
Col Avg                   , 0.0018          ,         , 1.1             ,         , 0.012           ,         , 0.0006          ,         , 0               ,        
Col Std Dev               , 3.1e-05         ,         , 6.4             ,         , 0.00079         ,         , 0.02            ,         , 0               ,        
