FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.0001         ,         , 1.5             ,OVER_TOL , -0.0047         ,         , 0.024           ,         , 0               ,        
Basic_DAXPY               , -0.0001         ,         , 0.0043          ,         , 0.026           ,         , 0.016           ,         , 0               ,        
Basic_IF_QUAD             , 0.016           ,         , 0.015           ,         , 0.079           ,         , 0.077           ,         , 0               ,        
Basic_INIT3               , -2.9e-05        ,         , 8.4e-05         ,         , 2.4e-05         ,         , -0.00019        ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00034         ,         , 0.00027         ,         , 0.00036         ,         , -0.015          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00038        ,         , 1.1             ,OVER_TOL , 0.0019          ,         , 0.0037          ,         , 0               ,        
Basic_MULADDSUB           , -4.4e-05        ,         , 0.00061         ,         , 0.085           ,         , 0.086           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0025         ,         , 4.2e-05         ,         , 0.00088         ,         , 0.00031         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00037        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.19            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.00053         ,         , -8.7e-05        ,         , 0               ,         , -0.39           ,         , 0               ,        
Stream_ADD                , 0.0048          ,         , 0.0051          ,         , 0.0013          ,         , 0.0016          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0025         ,         , -8.7e-05        ,         , -0.0047         ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.016           ,         , 8.8             ,         , 0.085           ,         , 0.19            ,         , -1.8e+308       ,        
Col Avg                   , 0.0016          ,         , 1               ,         , 0.021           ,         , -0.0006         ,         , 0               ,        
Col Std Dev               , 2.2e-05         ,         , 6.3             ,         , 0.0011          ,         , 0.018           ,         , 0               ,        
