FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00043        ,         , 1.5             ,OVER_TOL , -0.0022         ,         , 0.022           ,         , 0               ,        
Basic_DAXPY               , 0.00029         ,         , 0.0049          ,         , 0.034           ,         , 0.03            ,         , 0               ,        
Basic_IF_QUAD             , 0.014           ,         , 0.017           ,         , 0.087           ,         , 0.078           ,         , 0               ,        
Basic_INIT3               , 6.2e-06         ,         , -0.0016         ,         , 0.0019          ,         , 0.014           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00039         ,         , 0.00026         ,         , 0.00041         ,         , -0.013          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00039        ,         , 1.1             ,OVER_TOL , 0.0016          ,         , 0.0078          ,         , 0               ,        
Basic_MULADDSUB           , -1.1e-05        ,         , 0.00066         ,         , 0.086           ,         , 0.089           ,         , 0               ,        
Basic_NESTED_INIT         , 6.6e-05         ,         , 0.0024          ,         , 0.00084         ,         , 0.00044         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00016        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.19            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -4.7e-05        ,         , 0.00072         ,         , 0               ,         , -0.39           ,         , 0               ,        
Stream_ADD                , 0.016           ,         , 0.016           ,         , 0.0016          ,         , 0.0019          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00043        ,         , -0.0016         ,         , -0.0022         ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.016           ,         , 8.8             ,         , 0.087           ,         , 0.19            ,         , -1.8e+308       ,        
Col Avg                   , 0.0027          ,         , 1               ,         , 0.023           ,         , 0.0028          ,         , 0               ,        
Col Std Dev               , 3.3e-05         ,         , 6.3             ,         , 0.0012          ,         , 0.018           ,         , 0               ,        
