FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.17           ,         , 1.2             ,OVER_TOL , -0.037          ,         , -0.025          ,         , 0               ,        
Basic_DAXPY               , -0.37           ,         , 0               ,         , -0.04           ,         , -0.02           ,         , 0               ,        
Basic_IF_QUAD             , -0.72           ,         , -0.022          ,         , -0.021          ,         , 0.067           ,         , 0               ,        
Basic_INIT3               , -0.72           ,         , 0.51            ,OVER_TOL , -0.0096         ,         , 0.027           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.67           ,         , 1               ,OVER_TOL , 0.03            ,         , -0.0094         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.79           ,         , -0.3            ,         , -0.089          ,         , -0.017          ,         , 0               ,        
Basic_MULADDSUB           , -0.83           ,         , -0.8            ,         , -0.016          ,         , 0.02            ,         , 0               ,        
Basic_NESTED_INIT         , -0.78           ,         , -0.69           ,         , -0.021          ,         , 0.019           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.63           ,         , -0.68           ,         , 0               ,         , -0.025          ,         , 0               ,        
Basic_TRAP_INT            , -0.16           ,         , -0.24           ,         , 0               ,         , 0.05            ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.83           ,         , -0.8            ,         , -0.089          ,         , -0.025          ,         , 1.8e+308        ,        
Col Max                   , -0.16           ,         , 1.2             ,         , 0.03            ,         , 0.067           ,         , -1.8e+308       ,        
Col Avg                   , -0.59           ,         , 9.7e-05         ,         , -0.025          ,         , 0.0087          ,         , 0               ,        
Col Std Dev               , 0.058           ,         , 0.45            ,         , 0.00097         ,         , 0.00098         ,         , 0               ,        
