FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.0001         ,         , 1.5             ,OVER_TOL , -0.0023         ,         , 0.023           ,         , 0               ,        
Basic_DAXPY               , 0.003           ,         , -0.0027         ,         , -0.0093         ,         , 0.0079          ,         , 0               ,        
Basic_IF_QUAD             , 0.0077          ,         , 0.0066          ,         , 0.08            ,         , 0.079           ,         , 0               ,        
Basic_INIT3               , -0.00022        ,         , 0.0014          ,         , 0.0011          ,         , 0.0032          ,         , 0               ,        
Basic_INIT_VIEW1D         , 1.6e-05         ,         , 0.00062         ,         , 0.0025          ,         , 0.0057          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -4.3e-05        ,         , 1.1             ,OVER_TOL , 0.02            ,         , 0.021           ,         , 0               ,        
Basic_MULADDSUB           , -1.3e-05        ,         , 0.00099         ,         , 0.093           ,         , 0.093           ,         , 0               ,        
Basic_NESTED_INIT         , 0.0001          ,         , 0.0028          ,         , 0.0014          ,         , 0.001           ,         , 0               ,        
Basic_REDUCE3_INT         , -3.1e-05        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.1             ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 3.2e-05         ,         , 5.1e-06         ,         , 0               ,         , -0.41           ,         , 0               ,        
Stream_ADD                , 0.0068          ,         , 0.011           ,         , 0.00019         ,         , 0.0011          ,         , 0               ,        
Stream_COPY               , 0.004           ,         , -0.2            ,         , 0.00054         ,         , 0.0012          ,         , 0               ,        
Stream_DOT                , -0.00035        ,         , 0.0022          ,         , 0               ,         , -0.2            ,         , 0               ,        
Stream_MUL                , 0.005           ,         , 0.005           ,         , 0.0021          ,         , -0.0016         ,         , 0               ,        
Stream_TRIAD              , 0.0031          ,         , 0.004           ,         , -0.00053        ,         , -0.00034        ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00035        ,         , -0.2            ,         , -0.0093         ,         , -0.41           ,         , 1.8e+308        ,        
Col Max                   , 0.0077          ,         , 8.6             ,         , 0.093           ,         , 0.1             ,         , -1.8e+308       ,        
Col Avg                   , 0.0019          ,         , 0.73            ,         , 0.016           ,         , -0.018          ,         , 0               ,        
Col Std Dev               , 7.3e-06         ,         , 4.6             ,         , 0.001           ,         , 0.015           ,         , 0               ,        
