FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.27           ,         , -0.18           ,         , -0.077          ,         , -0.12           ,         , 0               ,        
Basic_DAXPY               , -0.46           ,         , 0.16            ,OVER_TOL , -0.004          ,         , 0.015           ,         , 0               ,        
Basic_IF_QUAD             , -0.44           ,         , -0.085          ,         , -0.015          ,         , 0.0089          ,         , 0               ,        
Basic_INIT3               , -0.54           ,         , 0.031           ,         , -0.0069         ,         , 0.047           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.029           ,         , 1.6             ,OVER_TOL , 0.0051          ,         , -0.012          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.15           ,         , 0.55            ,OVER_TOL , -0.013          ,         , -0.0056         ,         , 0               ,        
Basic_MULADDSUB           , -0.55           ,         , -0.54           ,         , -0.0047         ,         , 0.021           ,         , 0               ,        
Basic_NESTED_INIT         , -0.57           ,         , -0.56           ,         , -0.051          ,         , -0.065          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.35           ,         , -0.49           ,         , 0               ,         , 0.014           ,         , 0               ,        
Basic_TRAP_INT            , -0.28           ,         , 0.062           ,         , 0               ,         , 0.15            ,OVER_TOL , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.57           ,         , -0.56           ,         , -0.077          ,         , -0.12           ,         , 1.8e+308        ,        
Col Max                   , 0.029           ,         , 1.6             ,         , 0.0051          ,         , 0.15            ,         , -1.8e+308       ,        
Col Avg                   , -0.36           ,         , 0.057           ,         , -0.021          ,         , 0.005           ,         , 0               ,        
Col Std Dev               , 0.034           ,         , 0.38            ,         , 0.00069         ,         , 0.0044          ,         , 0               ,        
