FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.061           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.064           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0003         ,         , -0.0014         ,         , -0.0073         ,         , 0.00062         ,        
Apps_ENERGY               , 0.0013          ,         , -0.00075        ,         , 0               ,         , 0.002           ,        
Apps_FIR                  , -0.012          ,         , -0.087          ,         , 0               ,         , 0.05            ,        
Apps_HALOEXCHANGE         , 0.12            ,OVER_TOL , 0.087           ,         , 0               ,         , -0.0098         ,        
Apps_LTIMES               , -0.0011         ,         , 0.068           ,         , 0.17            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.00036        ,         , 0.055           ,         , 0.18            ,OVER_TOL , 0.21            ,OVER_TOL
Apps_PRESSURE             , 8.7e-05         ,         , 0.0017          ,         , 0               ,         , 0.0065          ,        
Apps_VOL3D                , 0.00023         ,         , 0.0079          ,         , 0               ,         , -0.13           ,        
Basic_DAXPY               , 0.0053          ,         , 0.019           ,         , 0.001           ,         , 0.0016          ,        
Basic_IF_QUAD             , -0.0077         ,         , 0.00027         ,         , 0.17            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , 9.9e-05         ,         , 0.00027         ,         , 0.003           ,         , -0.0009         ,        
Basic_INIT_VIEW1D         , 0.00054         ,         , 0.00024         ,         , -0.00039        ,         , 0.0036          ,        
Basic_INIT_VIEW1D_OFFSET  , -5.3e-05        ,         , 1.1             ,OVER_TOL , 0.0039          ,         , 0.0081          ,        
Basic_MULADDSUB           , -0.0033         ,         , -0.0033         ,         , 0.18            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , 6.7e-05         ,         , -0.054          ,         , 0.0038          ,         , 0.098           ,        
Basic_PI_ATOMIC           , 2.8e-05         ,         , 1.5             ,OVER_TOL , -0.032          ,         , -0.049          ,        
Basic_REDUCE3_INT         , -3.7e-05        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.17            ,OVER_TOL
Basic_TRAP_INT            , 2.5e-05         ,         , 3.3e-06         ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , 0.00094         ,         , -0.12           ,         , 0               ,         , 0.0022          ,        
Lcals_EOS                 , 3e-05           ,         , -0.00016        ,         , 0               ,         , 0.0005          ,        
Lcals_FIRST_DIFF          , 0.024           ,         , 0.025           ,         , 0               ,         , 8.7e-05         ,        
Lcals_FIRST_MIN           , -0.00023        ,         , 0.25            ,OVER_TOL , 0               ,         , -0.45           ,        
Lcals_FIRST_SUM           , 0.015           ,         , 0.019           ,         , 0               ,         , 0.054           ,        
Lcals_GEN_LIN_RECUR       , 3.3e-05         ,         , -0.0002         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , -0.00094        ,         , -0.00022        ,         , 0               ,         , 0.0002          ,        
Lcals_HYDRO_2D            , -0.00025        ,         , -0.00016        ,         , 0               ,         , 0.053           ,        
Lcals_INT_PREDICT         , 0.0006          ,         , 0.00027         ,         , 0               ,         , -0.00033        ,        
Lcals_PLANCKIAN           , 2.2e-05         ,         , 0.0013          ,         , 0               ,         , -0.0014         ,        
Lcals_TRIDIAG_ELIM        , -0.00098        ,         , -0.00022        ,         , 0               ,         , 0.0027          ,        
Stream_ADD                , 0.0016          ,         , 0.0034          ,         , 0.0011          ,         , 0.0018          ,        
Stream_COPY               , 0.0056          ,         , -0.2            ,         , 0.00013         ,         , 0.00095         ,        
Stream_DOT                , 4.9e-05         ,         , 0.018           ,         , 0               ,         , -0.24           ,        
Stream_MUL                , 0.014           ,         , 0.015           ,         , 0.0025          ,         , 0.0025          ,        
Stream_TRIAD              , 0.0017          ,         , 0.0021          ,         , 0.00022         ,         , 9.2e-05         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.012          ,         , -0.2            ,         , -0.032          ,         , -0.45           ,        
Col Max                   , 0.12            ,         , 8.8             ,         , 0.18            ,         , inf             ,        
Col Avg                   , 0.0047          ,         , 0.32            ,         , 0.045           ,         , inf             ,        
Col Std Dev               , 0.00042         ,         , 2.2             ,         , 0.0061          ,         , nan             ,        
