FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.0017         ,         , -0.0045         ,         , 0.0022          ,         , -0.0029         ,        
Apps_ENERGY               , -6.7e-05        ,         , 0.0019          ,         , 0               ,         , -2.8e-05        ,        
Apps_FIR                  , 2.2e-05         ,         , -0.078          ,         , 0               ,         , 0.052           ,        
Apps_HALOEXCHANGE         , 0.02            ,         , 0.11            ,OVER_TOL , 0               ,         , -0.017          ,        
Apps_LTIMES               , 0.00092         ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.0017          ,         , 0.064           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , 0.00032         ,         , -0.00099        ,         , 0               ,         , 0.0022          ,        
Apps_VOL3D                , 0.00032         ,         , 0.0082          ,         , 0               ,         , -0.13           ,        
Basic_DAXPY               , 0.016           ,         , 0.021           ,         , 0.0011          ,         , 0.0016          ,        
Basic_IF_QUAD             , -0.0068         ,         , 0.0036          ,         , 0.17            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_INIT3               , 2.6e-05         ,         , 0.00021         ,         , 0.021           ,         , 0.00047         ,        
Basic_INIT_VIEW1D         , -4.8e-05        ,         , 0.0006          ,         , 4.9e-05         ,         , 0.0046          ,        
Basic_INIT_VIEW1D_OFFSET  , -1.5e-05        ,         , 1.1             ,OVER_TOL , 0.0036          ,         , 0.0075          ,        
Basic_MULADDSUB           , -0.0017         ,         , -0.0019         ,         , 0.22            ,OVER_TOL , 0.22            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0084          ,         , 0.0072          ,         , 0.0073          ,        
Basic_PI_ATOMIC           , 0.00013         ,         , 1.5             ,OVER_TOL , -0.00039        ,         , 0.00011         ,        
Basic_REDUCE3_INT         , -0.00014        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.64            ,OVER_TOL
Basic_TRAP_INT            , 3.8e-05         ,         , 5.9e-05         ,         , 0               ,         , -0.39           ,        
Lcals_DIFF_PREDICT        , 0.00013         ,         , -0.13           ,         , 0               ,         , 0.0018          ,        
Lcals_EOS                 , -0.00038        ,         , -0.0012         ,         , 0               ,         , 0.0019          ,        
Lcals_FIRST_DIFF          , 0.0074          ,         , 0.0097          ,         , 0               ,         , 0.00069         ,        
Lcals_FIRST_MIN           , -0.049          ,         , 0.2             ,OVER_TOL , 0               ,         , -0.46           ,        
Lcals_FIRST_SUM           , 0.0039          ,         , 0.003           ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , 0.00011         ,         , 0.00017         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.0012          ,         , 0.0012          ,         , 0               ,         , 0.00063         ,        
Lcals_HYDRO_2D            , -6.6e-05        ,         , 0.008           ,         , 0               ,         , 0.098           ,        
Lcals_INT_PREDICT         , -0.00038        ,         , -9.3e-05        ,         , 0               ,         , -0.0024         ,        
Lcals_PLANCKIAN           , 2e-05           ,         , 3e-05           ,         , 0               ,         , -0.0065         ,        
Lcals_TRIDIAG_ELIM        , -0.0013         ,         , -0.0012         ,         , 0               ,         , 0.01            ,        
Stream_ADD                , 0.00086         ,         , -0.0011         ,         , 0.00094         ,         , 0.002           ,        
Stream_COPY               , -0.00097        ,         , -0.31           ,         , 0.0007          ,         , 0.00095         ,        
Stream_DOT                , -0.00015        ,         , 0.0087          ,         , 0               ,         , -0.23           ,        
Stream_MUL                , 0.0099          ,         , 0.014           ,         , 0.0013          ,         , 0.003           ,        
Stream_TRIAD              , 0.00014         ,         , 0.00019         ,         , 0.00032         ,         , 0.00031         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.049          ,         , -0.31           ,         , -0.00039        ,         , -0.46           ,        
Col Max                   , 0.057           ,         , 8.8             ,         , 0.29            ,         , 0.64            ,        
Col Avg                   , 0.0017          ,         , 0.34            ,         , 0.067           ,         , 0.017           ,        
Col Std Dev               , 0.00019         ,         , 2.3             ,         , 0.012           ,         , 0.034           ,        
