FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.33           ,         , 0.2             ,OVER_TOL , 0.027           ,         , -0.018          ,         , 0               ,        
Basic_DAXPY               , -0.15           ,         , 0.83            ,OVER_TOL , -0.0055         ,         , -0.012          ,         , 0               ,        
Basic_IF_QUAD             , -0.37           ,         , 0.32            ,OVER_TOL , 0.022           ,         , 0.035           ,         , 0               ,        
Basic_INIT3               , -0.55           ,         , 1.6             ,OVER_TOL , -0.011          ,         , 0.011           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.36           ,         , -0.28           ,         , -0.022          ,         , -0.019          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.13           ,         , 0.39            ,OVER_TOL , -0.052          ,         , 0.006           ,         , 0               ,        
Basic_MULADDSUB           , -0.52           ,         , -0.55           ,         , -0.019          ,         , 0.047           ,         , 0               ,        
Basic_NESTED_INIT         , -0.52           ,         , -0.47           ,         , -0.023          ,         , -0.016          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.4            ,         , -0.56           ,         , 0               ,         , 0.0034          ,         , 0               ,        
Basic_TRAP_INT            , -0.36           ,         , -0.13           ,         , 0               ,         , 0.014           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.55           ,         , -0.56           ,         , -0.052          ,         , -0.019          ,         , 1.8e+308        ,        
Col Max                   , -0.13           ,         , 1.6             ,         , 0.027           ,         , 0.047           ,         , -1.8e+308       ,        
Col Avg                   , -0.37           ,         , 0.13            ,         , -0.011          ,         , 0.0051          ,         , 0               ,        
Col Std Dev               , 0.018           ,         , 0.42            ,         , 0.00057         ,         , 0.00046         ,         , 0               ,        
