FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.18           ,         , 0.055           ,         , -0.094          ,         , -0.092          ,         , 0               ,        
Basic_DAXPY               , -0.21           ,         , 0.061           ,         , -0.022          ,         , -0.015          ,         , 0               ,        
Basic_IF_QUAD             , -0.49           ,         , 0.21            ,OVER_TOL , -0.14           ,         , -0.12           ,         , 0               ,        
Basic_INIT3               , -0.46           ,         , -0.28           ,         , -0.018          ,         , 0               ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.43           ,         , -0.21           ,         , -0.011          ,         , -0.0032         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.12           ,         , 0.7             ,OVER_TOL , -0.024          ,         , -0.014          ,         , 0               ,        
Basic_MULADDSUB           , -0.85           ,         , -0.83           ,         , -0.0081         ,         , 0.0024          ,         , 0               ,        
Basic_NESTED_INIT         , -0.58           ,         , -0.47           ,         , -0.043          ,         , -0.038          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.24           ,         , -0.61           ,         , 0               ,         , -0.00019        ,         , 0               ,        
Basic_TRAP_INT            , -0.23           ,         , 0.22            ,OVER_TOL , 0               ,         , 0.0015          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.85           ,         , -0.83           ,         , -0.14           ,         , -0.12           ,         , 1.8e+308        ,        
Col Max                   , -0.12           ,         , 0.7             ,         , -0.0081         ,         , 0.0024          ,         , -1.8e+308       ,        
Col Avg                   , -0.38           ,         , -0.12           ,         , -0.045          ,         , -0.028          ,         , 0               ,        
Col Std Dev               , 0.046           ,         , 0.19            ,         , 0.002           ,         , 0.0017          ,         , 0               ,        
