FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00085         ,         , 1.5             ,OVER_TOL , -0.00073        ,         , 0.026           ,         , 0               ,        
Basic_DAXPY               , 0.0002          ,         , -0.00078        ,         , -0.012          ,         , 0.014           ,         , 0               ,        
Basic_IF_QUAD             , 0.018           ,         , 0.021           ,         , 0.073           ,         , 0.084           ,         , 0               ,        
Basic_INIT3               , -0.00023        ,         , 0.00082         ,         , -0.0029         ,         , 0.015           ,         , 0               ,        
Basic_INIT_VIEW1D         , 6e-06           ,         , 0.00017         ,         , 0.0011          ,         , 0.0016          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 5.6e-05         ,         , 1.1             ,OVER_TOL , 0.0008          ,         , 0.014           ,         , 0               ,        
Basic_MULADDSUB           , 7.4e-05         ,         , 0.00062         ,         , 0.023           ,         , 0.014           ,         , 0               ,        
Basic_NESTED_INIT         , 7.1e-05         ,         , 0.0028          ,         , 0.00088         ,         , 0.00071         ,         , 0               ,        
Basic_REDUCE3_INT         , -5.1e-05        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.16            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -4.2e-05        ,         , 7.3e-05         ,         , 0               ,         , -0.39           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00023        ,         , -0.00078        ,         , -0.012          ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.018           ,         , 8.5             ,         , 0.073           ,         , 0.16            ,         , -1.8e+308       ,        
Col Avg                   , 0.0019          ,         , 1.1             ,         , 0.01            ,         , -0.0057         ,         , 0               ,        
Col Std Dev               , 2.8e-05         ,         , 6.4             ,         , 0.00064         ,         , 0.019           ,         , 0               ,        
