FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00012         ,         , 1.5             ,OVER_TOL , -0.00099        ,         , 0.025           ,         , 0               ,        
Basic_DAXPY               , -4.8e-06        ,         , 0.0028          ,         , 0.028           ,         , 0.024           ,         , 0               ,        
Basic_IF_QUAD             , 0.021           ,         , 0.021           ,         , 0.082           ,         , 0.083           ,         , 0               ,        
Basic_INIT3               , 0.00012         ,         , -0.00055        ,         , 0.0013          ,         , 0.0025          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00035         ,         , 0.0002          ,         , 0.00077         ,         , 0.0027          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00044        ,         , 1.1             ,OVER_TOL , 0.0016          ,         , 0.036           ,         , 0               ,        
Basic_MULADDSUB           , -7.2e-05        ,         , 0.00076         ,         , 0.063           ,         , 0.077           ,         , 0               ,        
Basic_NESTED_INIT         , -0.00091        ,         , 0.0017          ,         , 0.00067         ,         , -0.0003         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00025        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.16            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.00056         ,         , 1.8e-05         ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , -0.0023         ,         , -0.0021         ,         , 0.002           ,         , 0.0015          ,         , 0               ,        
Stream_COPY               , 0.00067         ,         , -0.27           ,         , 0.00036         ,         , 0.001           ,         , 0               ,        
Stream_DOT                , 8.1e-05         ,         , 0.00042         ,         , 0               ,         , -0.17           ,         , 0               ,        
Stream_MUL                , 0.0019          ,         , 0.0019          ,         , 0.0024          ,         , 0.0024          ,         , 0               ,        
Stream_TRIAD              , 0.00068         ,         , 0.0025          ,         , 0.0011          ,         , 0.00077         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0023         ,         , -0.27           ,         , -0.00099        ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.021           ,         , 8.5             ,         , 0.082           ,         , 0.16            ,         , -1.8e+308       ,        
Col Avg                   , 0.0014          ,         , 0.73            ,         , 0.015           ,         , -0.01           ,         , 0               ,        
Col Std Dev               , 2.8e-05         ,         , 4.6             ,         , 0.00072         ,         , 0.015           ,         , 0               ,        
