FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.068           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.068           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , 0.0011          ,         , -0.0073         ,         , -0.0022         ,         , -0.0027         ,        
Apps_ENERGY               , 0.0029          ,         , 0.0022          ,         , 0               ,         , 0.0008          ,        
Apps_FIR                  , -0.00075        ,         , -0.078          ,         , 0               ,         , 0.053           ,        
Apps_HALOEXCHANGE         , 0.15            ,OVER_TOL , 0.17            ,OVER_TOL , 0               ,         , -0.011          ,        
Apps_LTIMES               , 0.00038         ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.002          ,         , 0.06            ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.00026        ,         , 2.6e-06         ,         , 0               ,         , 0.0063          ,        
Apps_VOL3D                , -0.00081        ,         , 0.007           ,         , 0               ,         , -0.2            ,        
Basic_DAXPY               , 0.019           ,         , 0.03            ,         , 0.0017          ,         , 0.0026          ,        
Basic_IF_QUAD             , -0.0029         ,         , 0.0041          ,         , 0.19            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_INIT3               , 4.4e-05         ,         , 7.4e-05         ,         , -0.0014         ,         , -2.2e-05        ,        
Basic_INIT_VIEW1D         , 0.00055         ,         , 1.1e-05         ,         , -0.00017        ,         , 0.0041          ,        
Basic_INIT_VIEW1D_OFFSET  , -5e-05          ,         , 1.1             ,OVER_TOL , 0.0032          ,         , 0.0076          ,        
Basic_MULADDSUB           , -0.0019         ,         , -0.0021         ,         , 0.23            ,OVER_TOL , 0.23            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0088          ,         , -5e-05          ,         , 0.0034          ,        
Basic_PI_ATOMIC           , 0.00032         ,         , 1.5             ,OVER_TOL , -0.00029        ,         , 0.00017         ,        
Basic_REDUCE3_INT         , 1.6e-05         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.53            ,OVER_TOL
Basic_TRAP_INT            , -0.00012        ,         , -2.6e-05        ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , 0.00049         ,         , -0.12           ,         , 0               ,         , 0.0044          ,        
Lcals_EOS                 , -0.0016         ,         , -0.0016         ,         , 0               ,         , 0.00096         ,        
Lcals_FIRST_DIFF          , 0.018           ,         , 0.022           ,         , 0               ,         , 0.00016         ,        
Lcals_FIRST_MIN           , 0.0021          ,         , 0.25            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.016           ,         , 0.018           ,         , 0               ,         , 0.049           ,        
Lcals_GEN_LIN_RECUR       , 0.00033         ,         , -0.0017         ,         , 0               ,         , -0.099          ,        
Lcals_HYDRO_1D            , 0.0016          ,         , 0.0035          ,         , 0               ,         , 0.00018         ,        
Lcals_HYDRO_2D            , -0.00078        ,         , 0.0085          ,         , 0               ,         , 0.091           ,        
Lcals_INT_PREDICT         , -0.00019        ,         , -0.00083        ,         , 0               ,         , -0.0014         ,        
Lcals_PLANCKIAN           , 0.0013          ,         , 0.00011         ,         , 0               ,         , -0.0049         ,        
Lcals_TRIDIAG_ELIM        , -6.1e-05        ,         , -2.1e-05        ,         , 0               ,         , 0.0066          ,        
Stream_ADD                , 0.0009          ,         , -5.4e-05        ,         , 0.00092         ,         , 0.0018          ,        
Stream_COPY               , 0.0022          ,         , -0.28           ,         , 0.00073         ,         , 0.0015          ,        
Stream_DOT                , -0.00028        ,         , 0.013           ,         , 0               ,         , -0.25           ,        
Stream_MUL                , 0.018           ,         , 0.021           ,         , 0.002           ,         , 0.0034          ,        
Stream_TRIAD              , 0.00071         ,         , 0.0017          ,         , 0.00061         ,         , 0.00087         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0029         ,         , -0.28           ,         , -0.0022         ,         , -0.44           ,        
Col Max                   , 0.15            ,         , 8.8             ,         , 0.29            ,         , inf             ,        
Col Avg                   , 0.0083          ,         , 0.33            ,         , 0.066           ,         , inf             ,        
Col Std Dev               , 0.00075         ,         , 2.1             ,         , 0.012           ,         , nan             ,        
