Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.286081 ,   1.285922 , 1.279793 ,  0.006819 ,    0.006798 ,  0.006791 ,       Not run ,        Not run
Apps_ENERGY               , 1.341071 ,   1.342984 , 1.340324 ,  0.037793 ,     Not run ,  0.037855 ,       Not run ,        Not run
Apps_FIR                  , 1.540382 ,   1.539300 , 1.420190 ,  0.004152 ,     Not run ,  0.004345 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.026904 ,   0.026718 , 0.029143 ,  0.033844 ,     Not run ,  0.032588 ,       Not run ,        Not run
Apps_LTIMES               , 1.710516 ,   1.712508 , 1.817414 ,  0.015428 ,    0.019857 ,  0.020307 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.708549 ,   1.709141 , 1.813245 ,  0.015427 ,    0.019857 ,  0.020271 ,       Not run ,        Not run
Apps_PRESSURE             , 1.578334 ,   1.577046 , 1.577124 ,  0.046935 ,     Not run ,  0.047286 ,       Not run ,        Not run
Apps_VOL3D                , 1.636613 ,   1.636713 , 1.651388 ,  0.006368 ,     Not run ,  0.005252 ,       Not run ,        Not run
Basic_DAXPY               , 0.289745 ,   0.300253 , 0.300418 ,  0.016418 ,    0.016450 ,  0.016439 ,      0.040689 ,        Not run
Basic_IF_QUAD             , 1.887156 ,   1.876138 , 1.897330 ,  0.012046 ,    0.013974 ,  0.013989 ,      0.021914 ,        Not run
Basic_INIT3               , 0.560191 ,   0.560103 , 0.560253 ,  0.026674 ,    0.026695 ,  0.026672 ,      0.051952 ,        Not run
Basic_INIT_VIEW1D         , 1.850162 ,   1.850203 , 1.850231 ,  0.030554 ,    0.030552 ,  0.030699 ,      0.184343 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719408 ,   1.719260 , 3.611970 ,  0.029989 ,    0.030067 ,  0.030210 ,      0.181155 ,        Not run
Basic_MULADDSUB           , 0.417153 ,   0.417912 , 0.416131 ,  0.018615 ,    0.022049 ,  0.022019 ,      0.036386 ,        Not run
Basic_NESTED_INIT         , 0.967735 ,   1.022333 , 0.975945 ,  0.017370 ,    0.017452 ,  0.017462 ,      0.074548 ,        Not run
Basic_PI_ATOMIC           , 0.119430 ,   0.119414 , 0.300888 ,  0.105079 ,    0.105045 ,  0.105098 ,      0.123395 ,        Not run
Basic_REDUCE3_INT         , 0.019012 ,   0.019012 , 0.186228 ,  0.004587 ,     Not run ,  0.008293 ,      0.003742 ,        Not run
Basic_TRAP_INT            , 0.271695 ,   0.271707 , 0.271723 ,  0.002229 ,     Not run ,  0.001451 ,      0.003513 ,        Not run
Lcals_DIFF_PREDICT        , 0.810665 ,   0.810454 , 0.710479 ,  0.051423 ,     Not run ,  0.051455 ,      0.077602 ,        Not run
Lcals_EOS                 , 0.983451 ,   0.984734 , 0.984567 ,  0.021786 ,     Not run ,  0.021806 ,      0.046393 ,        Not run
Lcals_FIRST_DIFF          , 1.095932 ,   1.129551 , 1.132542 ,  0.047150 ,     Not run ,  0.047131 ,      0.146872 ,        Not run
Lcals_FIRST_MIN           , 0.075942 ,   0.075858 , 0.095607 ,  0.006002 ,     Not run ,  0.003468 ,      0.009470 ,        Not run
Lcals_FIRST_SUM           , 1.113639 ,   1.131009 , 1.133538 ,  0.047816 ,     Not run ,  0.050092 ,      0.149434 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.256178 ,   1.256079 , 1.255149 ,  0.051654 ,     Not run ,  0.046556 ,      0.095816 ,        Not run
Lcals_HYDRO_1D            , 0.861522 ,   0.862596 , 0.862759 ,  0.032817 ,     Not run ,  0.032754 ,      0.080637 ,        Not run
Lcals_HYDRO_2D            , 1.407938 ,   1.407585 , 1.420453 ,  0.022362 ,     Not run ,  0.024299 ,      0.038297 ,        Not run
Lcals_INT_PREDICT         , 1.169259 ,   1.169443 , 1.170208 ,  0.045216 ,     Not run ,  0.045075 ,      0.064157 ,        Not run
Lcals_PLANCKIAN           , 1.343186 ,   1.341386 , 1.341435 ,  0.002668 ,     Not run ,  0.002647 ,      0.005198 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.935457 ,   0.934931 , 0.935403 ,  0.043448 ,     Not run ,  0.043772 ,      0.092604 ,        Not run
Stream_ADD                , 0.643303 ,   0.644809 , 0.644268 ,  0.032533 ,    0.032625 ,  0.032590 ,      0.080731 ,        Not run
Stream_COPY               , 1.206682 ,   1.213092 , 0.974741 ,  0.042182 ,    0.042157 ,  0.042157 ,      0.131885 ,        Not run
Stream_DOT                , 3.292048 ,   3.291409 , 3.323213 ,  0.099490 ,     Not run ,  0.078466 ,      0.178939 ,        Not run
Stream_MUL                , 0.961015 ,   0.980570 , 0.984044 ,  0.042164 ,    0.042222 ,  0.042245 ,      0.131681 ,        Not run
Stream_TRIAD              , 0.647348 ,   0.647700 , 0.647530 ,  0.032610 ,    0.032741 ,  0.032620 ,      0.080571 ,        Not run
