FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00056         ,         , 1.5             ,OVER_TOL , -0.00074        ,         , 0.028           ,         , 0               ,        
Basic_DAXPY               , 3.4e-05         ,         , 0.00051         ,         , -0.013          ,         , -0.0058         ,         , 0               ,        
Basic_IF_QUAD             , 0.022           ,         , 0.024           ,         , 0.075           ,         , 0.081           ,         , 0               ,        
Basic_INIT3               , 0.0016          ,         , -0.00052        ,         , -0.015          ,         , 0.0081          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00028         ,         , 0.00021         ,         , 0.0017          ,         , 0.0045          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00041         ,         , 1.1             ,OVER_TOL , 0.0035          ,         , 0.0061          ,         , 0               ,        
Basic_MULADDSUB           , 1e-05           ,         , 0.0026          ,         , 0.051           ,         , 0.048           ,         , 0               ,        
Basic_NESTED_INIT         , 0.00017         ,         , 0.0024          ,         , 0.00059         ,         , -9.5e-05        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00027        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.15            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.00051         ,         , -8.8e-05        ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , -0.005          ,         , -0.0047         ,         , 0.0027          ,         , 0.0015          ,         , 0               ,        
Stream_COPY               , 0.00094         ,         , -0.27           ,         , 0.00039         ,         , -0.008          ,         , 0               ,        
Stream_DOT                , -0.00053        ,         , 0.0034          ,         , 0               ,         , -0.2            ,         , 0               ,        
Stream_MUL                , 0.021           ,         , 0.024           ,         , 0.0019          ,         , 0.0024          ,         , 0               ,        
Stream_TRIAD              , 0.0027          ,         , 0.0017          ,         , -8.2e-05        ,         , 0.00063         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.005          ,         , -0.27           ,         , -0.015          ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.022           ,         , 8.5             ,         , 0.075           ,         , 0.15            ,         , -1.8e+308       ,        
Col Avg                   , 0.003           ,         , 0.73            ,         , 0.0089          ,         , -0.019          ,         , 0               ,        
Col Std Dev               , 5.5e-05         ,         , 4.6             ,         , 0.00063         ,         , 0.015           ,         , 0               ,        
