Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.281994 ,   1.281082 , 1.279397 ,  0.006753 ,    0.006706 ,  0.006762 ,       Not run ,        Not run
Apps_ENERGY               , 1.348116 ,   1.349666 , 1.347022 ,  0.037840 ,     Not run ,  0.037733 ,       Not run ,        Not run
Apps_FIR                  , 1.540492 ,   1.539486 , 1.415911 ,  0.004170 ,     Not run ,  0.004340 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.025534 ,   0.035573 , 0.037718 ,  0.034811 ,     Not run ,  0.032581 ,       Not run ,        Not run
Apps_LTIMES               , 1.710079 ,   1.711548 , 1.816549 ,  0.015430 ,    0.019863 ,  0.020310 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.706853 ,   1.708114 , 1.815005 ,  0.015441 ,    0.019866 ,  0.020270 ,       Not run ,        Not run
Apps_PRESSURE             , 1.582440 ,   1.580983 , 1.577950 ,  0.046971 ,     Not run ,  0.047184 ,       Not run ,        Not run
Apps_VOL3D                , 1.635301 ,   1.635521 , 1.650143 ,  0.006603 ,     Not run ,  0.005574 ,       Not run ,        Not run
Basic_DAXPY               , 0.282766 ,   0.292823 , 0.296434 ,  0.016397 ,    0.016420 ,  0.016416 ,      0.040512 ,        Not run
Basic_IF_QUAD             , 1.885288 ,   1.877015 , 1.891647 ,  0.012124 ,    0.014035 ,  0.014044 ,      0.021956 ,        Not run
Basic_INIT3               , 0.556761 ,   0.556722 , 0.556838 ,  0.027032 ,    0.027066 ,  0.027027 ,      0.052317 ,        Not run
Basic_INIT_VIEW1D         , 1.850112 ,   1.850059 , 1.850224 ,  0.030525 ,    0.030518 ,  0.030647 ,      0.186071 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719276 ,   1.719224 , 3.612140 ,  0.029821 ,    0.029920 ,  0.030027 ,      0.178660 ,        Not run
Basic_MULADDSUB           , 0.415150 ,   0.415748 , 0.414439 ,  0.018931 ,    0.022183 ,  0.021982 ,      0.036661 ,        Not run
Basic_NESTED_INIT         , 0.967666 ,   1.022329 , 0.975617 ,  0.017341 ,    0.017424 ,  0.017512 ,      0.074582 ,        Not run
Basic_PI_ATOMIC           , 0.119444 ,   0.119471 , 0.300858 ,  0.105142 ,    0.105113 ,  0.105157 ,      0.123850 ,        Not run
Basic_REDUCE3_INT         , 0.019008 ,   0.019010 , 0.186286 ,  0.004800 ,     Not run ,  0.008538 ,      0.003747 ,        Not run
Basic_TRAP_INT            , 0.271720 ,   0.271680 , 0.271697 ,  0.002323 ,     Not run ,  0.001476 ,      0.003533 ,        Not run
Lcals_DIFF_PREDICT        , 0.810900 ,   0.809380 , 0.709308 ,  0.051230 ,     Not run ,  0.051521 ,      0.076850 ,        Not run
Lcals_EOS                 , 0.986002 ,   0.986884 , 0.986915 ,  0.021817 ,     Not run ,  0.021840 ,      0.046422 ,        Not run
Lcals_FIRST_DIFF          , 1.091531 ,   1.106428 , 1.110107 ,  0.047166 ,     Not run ,  0.047177 ,      0.146830 ,        Not run
Lcals_FIRST_MIN           , 0.075794 ,   0.075773 , 0.095152 ,  0.006040 ,     Not run ,  0.003406 ,      0.009506 ,        Not run
Lcals_FIRST_SUM           , 1.095796 ,   1.106584 , 1.107733 ,  0.047824 ,     Not run ,  0.050111 ,      0.149551 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.248663 ,   1.248773 , 1.248881 ,  0.051662 ,     Not run ,  0.046489 ,      0.096561 ,        Not run
Lcals_HYDRO_1D            , 0.861922 ,   0.862760 , 0.862812 ,  0.032903 ,     Not run ,  0.032837 ,      0.080929 ,        Not run
Lcals_HYDRO_2D            , 1.411883 ,   1.411062 , 1.420167 ,  0.022240 ,     Not run ,  0.024126 ,      0.038835 ,        Not run
Lcals_INT_PREDICT         , 1.167107 ,   1.167581 , 1.168762 ,  0.045150 ,     Not run ,  0.045275 ,      0.063977 ,        Not run
Lcals_PLANCKIAN           , 1.343333 ,   1.341816 , 1.341710 ,  0.002663 ,     Not run ,  0.002639 ,      0.005216 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.930277 ,   0.930235 , 0.930099 ,  0.043257 ,     Not run ,  0.043749 ,      0.092487 ,        Not run
Stream_ADD                , 0.687538 ,   0.689168 , 0.689406 ,  0.032440 ,    0.032479 ,  0.032501 ,      0.081003 ,        Not run
Stream_COPY               , 1.200949 ,   1.201675 , 0.849967 ,  0.042162 ,    0.042158 ,  0.042163 ,      0.131833 ,        Not run
Stream_DOT                , 3.292272 ,   3.291373 , 3.324096 ,  0.097171 ,     Not run ,  0.078008 ,      0.180050 ,        Not run
Stream_MUL                , 0.951526 ,   0.963016 , 0.964867 ,  0.042120 ,    0.042217 ,  0.042212 ,      0.131435 ,        Not run
Stream_TRIAD              , 0.645610 ,   0.645088 , 0.645596 ,  0.032554 ,    0.032552 ,  0.032550 ,      0.081050 ,        Not run
