FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -5.9e-05        ,         , -0.001          ,         , -0.021          ,         , 0.0015          ,        
Apps_ENERGY               , -0.0016         ,         , -0.0018         ,         , 0               ,         , 0.0017          ,        
Apps_FIR                  , 0.00068         ,         , -0.08           ,         , 0               ,         , 0.042           ,        
Apps_HALOEXCHANGE         , 0.016           ,         , 0.077           ,         , 0               ,         , -0.01           ,        
Apps_LTIMES               , 0.0011          ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.0011          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.00038        ,         , -0.001          ,         , 0               ,         , 0.0079          ,        
Apps_VOL3D                , -0.00013        ,         , 0.0079          ,         , 0               ,         , -0.13           ,        
Basic_DAXPY               , 0.028           ,         , 0.035           ,         , 0.00018         ,         , 0.0021          ,        
Basic_IF_QUAD             , -0.0043         ,         , 0.0033          ,         , 0.18            ,OVER_TOL , 0.15            ,OVER_TOL
Basic_INIT3               , -0.00052        ,         , -0.00011        ,         , 0.0036          ,         , 0.00028         ,        
Basic_INIT_VIEW1D         , -4.2e-05        ,         , -0.00011        ,         , -0.00012        ,         , 0.0061          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00061        ,         , 1.1             ,OVER_TOL , 0.0028          ,         , 0.0085          ,        
Basic_MULADDSUB           , -0.002          ,         , -0.0017         ,         , 0.18            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0092          ,         , 0.0043          ,         , 0.0082          ,        
Basic_PI_ATOMIC           , -8.7e-05        ,         , 1.5             ,OVER_TOL , -0.00011        ,         , 0.00039         ,        
Basic_REDUCE3_INT         , 0.00038         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.7             ,OVER_TOL
Basic_TRAP_INT            , -0.00061        ,         , -0.00064        ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , 8e-05           ,         , -0.12           ,         , 0               ,         , 0.0018          ,        
Lcals_EOS                 , 0.00011         ,         , -0.00018        ,         , 0               ,         , 0.0049          ,        
Lcals_FIRST_DIFF          , 0.0089          ,         , 0.01            ,         , 0               ,         , 0.0011          ,        
Lcals_FIRST_MIN           , -0.00013        ,         , 0.27            ,OVER_TOL , 0               ,         , -0.45           ,        
Lcals_FIRST_SUM           , 0.0064          ,         , 0.0072          ,         , 0               ,         , 0.052           ,        
Lcals_GEN_LIN_RECUR       , -1.5e-05        ,         , -0.00086        ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.0011          ,         , 0.0013          ,         , 0               ,         , -0.0023         ,        
Lcals_HYDRO_2D            , 0.00038         ,         , 0.0078          ,         , 0               ,         , 0.096           ,        
Lcals_INT_PREDICT         , 0.002           ,         , 0.0009          ,         , 0               ,         , -0.0013         ,        
Lcals_PLANCKIAN           , 0.00012         ,         , -6.7e-05        ,         , 0               ,         , -0.0027         ,        
Lcals_TRIDIAG_ELIM        , 0.00023         ,         , 0.00033         ,         , 0               ,         , 0.0089          ,        
Stream_ADD                , 0.0014          ,         , 0.00056         ,         , 0.0025          ,         , 0.0024          ,        
Stream_COPY               , 0.00054         ,         , -0.25           ,         , 0.00016         ,         , 0.0016          ,        
Stream_DOT                , -0.00041        ,         , 0.0073          ,         , 0               ,         , -0.21           ,        
Stream_MUL                , 0.0066          ,         , 0.0065          ,         , 0.0016          ,         , -0.00074        ,        
Stream_TRIAD              , -1.7e-05        ,         , 0.00059         ,         , -0.0017         ,         , 0.0015          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0043         ,         , -0.25           ,         , -0.021          ,         , -0.45           ,        
Col Max                   , 0.057           ,         , 8.8             ,         , 0.29            ,         , 0.7             ,        
Col Avg                   , 0.0035          ,         , 0.34            ,         , 0.062           ,         , 0.018           ,        
Col Std Dev               , 0.00012         ,         , 2.3             ,         , 0.011           ,         , 0.034           ,        
