FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.067           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.067           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0019         ,         , -0.0061         ,         , 0.0032          ,         , -0.0037         ,        
Apps_ENERGY               , -0.0015         ,         , -0.0011         ,         , 0               ,         , 0.0023          ,        
Apps_FIR                  , -3.5e-05        ,         , -0.077          ,         , 0               ,         , 0.051           ,        
Apps_HALOEXCHANGE         , 0.066           ,         , 0.049           ,         , 0               ,         , -0.019          ,        
Apps_LTIMES               , 0.00068         ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.002          ,         , 0.06            ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.00011        ,         , 0.00039         ,         , 0               ,         , 0.0011          ,        
Apps_VOL3D                , -0.00076        ,         , 0.007           ,         , 0               ,         , -0.18           ,        
Basic_DAXPY               , 0.041           ,         , 0.049           ,         , 0.0019          ,         , 0.0013          ,        
Basic_IF_QUAD             , -0.0052         ,         , 0.0022          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , 0.00014         ,         , 0.0018          ,         , 0.0037          ,         , -0.00098        ,        
Basic_INIT_VIEW1D         , -0.00058        ,         , -0.00044        ,         , -0.00048        ,         , -0.0098         ,        
Basic_INIT_VIEW1D_OFFSET  , 1.5e-05         ,         , 1.1             ,OVER_TOL , 0.0028          ,         , 0.0044          ,        
Basic_MULADDSUB           , -0.002          ,         , -0.002          ,         , 0.25            ,OVER_TOL , 0.24            ,OVER_TOL
Basic_NESTED_INIT         , 0.058           ,         , 0.009           ,         , 0.0059          ,         , 0.0065          ,        
Basic_PI_ATOMIC           , 0.00029         ,         , 1.5             ,OVER_TOL , -0.00024        ,         , 0.0005          ,        
Basic_REDUCE3_INT         , -0.00012        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.58            ,OVER_TOL
Basic_TRAP_INT            , 4.9e-05         ,         , 0.0034          ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , -0.00034        ,         , -0.12           ,         , 0               ,         , -0.013          ,        
Lcals_EOS                 , 0.0014          ,         , 0.0013          ,         , 0               ,         , -0.0007         ,        
Lcals_FIRST_DIFF          , 0.021           ,         , 0.024           ,         , 0               ,         , -0.00075        ,        
Lcals_FIRST_MIN           , 0.05            ,         , 0.26            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.013           ,         , 0.013           ,         , 0               ,         , 0.048           ,        
Lcals_GEN_LIN_RECUR       , -0.00016        ,         , -0.00015        ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , -0.00065        ,         , -0.00068        ,         , 0               ,         , -0.0008         ,        
Lcals_HYDRO_2D            , -0.00065        ,         , 0.0091          ,         , 0               ,         , 0.078           ,        
Lcals_INT_PREDICT         , -4.6e-05        ,         , -0.00071        ,         , 0               ,         , -0.0017         ,        
Lcals_PLANCKIAN           , -0.0002         ,         , -0.00021        ,         , 0               ,         , -0.0047         ,        
Lcals_TRIDIAG_ELIM        , 0.0002          ,         , 0.00041         ,         , 0               ,         , 0.0075          ,        
Stream_ADD                , 0.0024          ,         , 0.00047         ,         , 0.0014          ,         , 0.00038         ,        
Stream_COPY               , 0.00014         ,         , -0.34           ,         , 0.00042         ,         , -0.00066        ,        
Stream_DOT                , -0.00026        ,         , 0.01            ,         , 0               ,         , -0.22           ,        
Stream_MUL                , 0.023           ,         , 0.028           ,         , 0.0018          ,         , 0.001           ,        
Stream_TRIAD              , 0.0037          ,         , 0.006           ,         , 0.00029         ,         , -0.0008         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0052         ,         , -0.34           ,         , -0.00048        ,         , -0.44           ,        
Col Max                   , 0.066           ,         , 8.8             ,         , 0.29            ,         , inf             ,        
Col Avg                   , 0.0078          ,         , 0.32            ,         , 0.067           ,         , inf             ,        
Col Std Dev               , 0.00033         ,         , 2.2             ,         , 0.012           ,         , nan             ,        
