FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.48           ,         , 0.67            ,OVER_TOL , -0.027          ,         , 0.027           ,         , 0               ,        
Basic_DAXPY               , -0.11           ,         , 0.8             ,OVER_TOL , 0.009           ,         , -0.015          ,         , 0               ,        
Basic_IF_QUAD             , -0.38           ,         , -0.29           ,         , -0.0083         ,         , 0.012           ,         , 0               ,        
Basic_INIT3               , -0.22           ,         , 1.2             ,OVER_TOL , -0.0034         ,         , 0.0015          ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.19           ,         , 0.78            ,OVER_TOL , -0.0048         ,         , -0.011          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.56           ,         , 1               ,OVER_TOL , 0.016           ,         , -0.0067         ,         , 0               ,        
Basic_MULADDSUB           , -0.68           ,         , -0.74           ,         , -0.0086         ,         , 0.031           ,         , 0               ,        
Basic_NESTED_INIT         , -0.45           ,         , -0.41           ,         , -0.012          ,         , -0.0016         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.34           ,         , -0.44           ,         , 0               ,         , 0.0063          ,         , 0               ,        
Basic_TRAP_INT            , -0.1            ,         , -0.059          ,         , 0               ,         , 0.0014          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.68           ,         , -0.74           ,         , -0.027          ,         , -0.015          ,         , 1.8e+308        ,        
Col Max                   , -0.1            ,         , 1.2             ,         , 0.016           ,         , 0.031           ,         , -1.8e+308       ,        
Col Avg                   , -0.35           ,         , 0.25            ,         , -0.0049         ,         , 0.0044          ,         , 0               ,        
Col Std Dev               , 0.034           ,         , 0.45            ,         , 0.00015         ,         , 0.00021         ,         , 0               ,        
