FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.087          ,         , 0.49            ,OVER_TOL , -0.044          ,         , -0.029          ,         , 0               ,        
Basic_DAXPY               , -0.27           ,         , 1.5             ,OVER_TOL , -0.00077        ,         , -0.0098         ,         , 0               ,        
Basic_IF_QUAD             , -0.38           ,         , 0.18            ,OVER_TOL , -0.017          ,         , 0.052           ,         , 0               ,        
Basic_INIT3               , -0.5            ,         , 0.047           ,         , -0.037          ,         , 0.014           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.8            ,         , -0.73           ,         , -0.0091         ,         , -0.011          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.34           ,         , -0.31           ,         , 0.012           ,         , 0.034           ,         , 0               ,        
Basic_MULADDSUB           , -0.56           ,         , -0.58           ,         , 0.018           ,         , 0.012           ,         , 0               ,        
Basic_NESTED_INIT         , -0.58           ,         , -0.55           ,         , -0.027          ,         , -0.025          ,         , 0               ,        
Basic_REDUCE3_INT         , 0.17            ,OVER_TOL , -0.13           ,         , 0               ,         , -0.0025         ,         , 0               ,        
Basic_TRAP_INT            , -0.4            ,         , 0.16            ,OVER_TOL , 0               ,         , -0.012          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.8            ,         , -0.73           ,         , -0.044          ,         , -0.029          ,         , 1.8e+308        ,        
Col Max                   , 0.17            ,         , 1.5             ,         , 0.018           ,         , 0.052           ,         , -1.8e+308       ,        
Col Avg                   , -0.37           ,         , 0.0046          ,         , -0.013          ,         , 0.0023          ,         , 0               ,        
Col Std Dev               , 0.067           ,         , 0.37            ,         , 0.00044         ,         , 0.00059         ,         , 0               ,        
