FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Apps_DEL_DOT_VEC_2D       , 0.00065         ,         , -0.0024         ,         , -0.035          ,         , 0.0056          ,         , 0               ,        
Apps_ENERGY               , -0.0028         ,         , -0.065          ,         , 0               ,         , 0.0072          ,         , 0               ,        
Apps_FIR                  , -0.00063        ,         , -0.082          ,         , 0               ,         , 0.13            ,OVER_TOL , 0               ,        
Apps_HALOEXCHANGE         , 0.43            ,OVER_TOL , 0.66            ,OVER_TOL , 0               ,         , -0.004          ,         , -0.9            ,        
Apps_LTIMES               , -0.00063        ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_LTIMES_NOVIEW        , -0.00059        ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_PRESSURE             , -0.073          ,         , -0.077          ,         , 0               ,         , -0.002          ,         , 0               ,        
Apps_VOL3D                , -5e-05          ,         , 0.0038          ,         , 0               ,         , -0.14           ,         , 0               ,        
Basic_ATOMIC_PI           , 0.012           ,         , 1.5             ,OVER_TOL , -0.00078        ,         , 0.019           ,         , 0               ,        
Basic_DAXPY               , -0.00022        ,         , -0.0031         ,         , -0.0034         ,         , -0.0046         ,         , 0               ,        
Basic_IF_QUAD             , 0.0046          ,         , 0.0056          ,         , 0.08            ,         , 0.081           ,         , 0               ,        
Basic_INIT3               , 0.0022          ,         , 0.0038          ,         , -0.0074         ,         , 0.0014          ,         , 0               ,        
Basic_INIT_VIEW1D         , -2e-05          ,         , 0.00028         ,         , 0.0015          ,         , 0.0034          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -1.6e-05        ,         , 1.1             ,OVER_TOL , 0.035           ,         , 0.038           ,         , 0               ,        
Basic_MULADDSUB           , 2.3e-05         ,         , 0.00073         ,         , 0.073           ,         , 0.085           ,         , 0               ,        
Basic_NESTED_INIT         , -1e-05          ,         , 0.0025          ,         , 0.0013          ,         , -0.00039        ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00049        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.11            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -3.9e-05        ,         , 0.00078         ,         , 0               ,         , -0.41           ,         , 0               ,        
Lcals_DIFF_PREDICT        , 0.00048         ,         , -0.14           ,         , 0               ,         , 0.00088         ,         , 0               ,        
Lcals_EOS                 , 0.00021         ,         , 0.0014          ,         , 0               ,         , 0.014           ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0018          ,         , 0.0015          ,         , 0               ,         , -0.012          ,         , 0               ,        
Lcals_FIRST_MIN           , 0.13            ,OVER_TOL , 0.26            ,OVER_TOL , 0               ,         , -0.43           ,         , 0               ,        
Lcals_FIRST_SUM           , -0.00028        ,         , 0.0043          ,         , 0               ,         , -0.0065         ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.00037        ,         , 0.00041         ,         , 0               ,         , 0.0084          ,         , 0               ,        
Lcals_HYDRO_1D            , 0.0011          ,         , 0.0023          ,         , 0               ,         , -0.0019         ,         , 0               ,        
Lcals_HYDRO_2D            , -0.00018        ,         , 0.0076          ,         , 0               ,         , 0.09            ,         , 0               ,        
Lcals_INT_PREDICT         , 0.016           ,         , 0.017           ,         , 0               ,         , 0.011           ,         , 0               ,        
Lcals_PLANCKIAN           , -0.00027        ,         , 4.8e-05         ,         , 0               ,         , -0.009          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.00055        ,         , 8e-05           ,         , 0               ,         , 0.02            ,         , 0               ,        
Stream_ADD                , 0.00062         ,         , 0.00016         ,         , 0.0004          ,         , 0.0018          ,         , 0               ,        
Stream_COPY               , 0.0042          ,         , -0.21           ,         , 0.00066         ,         , 0.00052         ,         , 0               ,        
Stream_DOT                , -0.00067        ,         , -0.00017        ,         , 0               ,         , -0.2            ,         , 0               ,        
Stream_MUL                , 0.012           ,         , 0.015           ,         , 0.0018          ,         , 0.0028          ,         , 0               ,        
Stream_TRIAD              , 0.00021         ,         , -4.2e-05        ,         , 0.00018         ,         , 0.00029         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.073          ,         , -0.21           ,         , -0.035          ,         , -0.43           ,         , -0.9            ,        
Col Max                   , 0.43            ,         , 8.8             ,         , 0.29            ,         , 0.31            ,         , -0.9            ,        
Col Avg                   , 0.016           ,         , 0.35            ,         , 0.048           ,         , 0.0013          ,         , -0.9            ,        
Col Std Dev               , 0.0057          ,         , 2.3             ,         , 0.0096          ,         , 0.02            ,         , 0               ,        
