Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.281722 ,   1.283463 , 1.278059 ,  0.006980 ,    0.006754 ,  0.006983 ,       Not run ,        Not run
Apps_ENERGY               , 1.352136 ,   1.347692 , 1.351889 ,  0.037801 ,     Not run ,  0.037762 ,       Not run ,        Not run
Apps_FIR                  , 1.539105 ,   1.540200 , 1.420455 ,  0.004168 ,     Not run ,  0.004347 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.039021 ,   0.042266 , 0.043032 ,  0.034748 ,     Not run ,  0.034162 ,       Not run ,        Not run
Apps_LTIMES               , 1.708603 ,   1.712267 , 1.814629 ,  0.015441 ,    0.019859 ,  0.020306 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.708212 ,   1.709105 , 1.816244 ,  0.015435 ,    0.019856 ,  0.020273 ,       Not run ,        Not run
Apps_PRESSURE             , 1.580688 ,   1.581825 , 1.578860 ,  0.046789 ,     Not run ,  0.046897 ,       Not run ,        Not run
Apps_VOL3D                , 1.635054 ,   1.637201 , 1.648245 ,  0.006467 ,     Not run ,  0.005385 ,       Not run ,        Not run
Basic_DAXPY               , 0.288038 ,   0.294477 , 0.295475 ,  0.016375 ,    0.016362 ,  0.016379 ,      0.040484 ,        Not run
Basic_IF_QUAD             , 1.888959 ,   1.876234 , 1.901564 ,  0.012114 ,    0.014330 ,  0.014242 ,      0.021914 ,        Not run
Basic_INIT3               , 0.580478 ,   0.580435 , 0.580535 ,  0.026922 ,    0.027008 ,  0.026872 ,      0.052223 ,        Not run
Basic_INIT_VIEW1D         , 1.850278 ,   1.850244 , 1.850377 ,  0.030409 ,    0.030402 ,  0.030603 ,      0.184448 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719397 ,   1.719426 , 3.611987 ,  0.029517 ,    0.029601 ,  0.029779 ,      0.179071 ,        Not run
Basic_MULADDSUB           , 0.424233 ,   0.424839 , 0.423161 ,  0.018858 ,    0.022165 ,  0.022226 ,      0.036742 ,        Not run
Basic_NESTED_INIT         , 0.967824 ,   1.022413 , 0.975707 ,  0.017332 ,    0.017362 ,  0.017460 ,      0.074580 ,        Not run
Basic_PI_ATOMIC           , 0.119425 ,   0.119433 , 0.300859 ,  0.105104 ,    0.105068 ,  0.105125 ,      0.123574 ,        Not run
Basic_REDUCE3_INT         , 0.019010 ,   0.019008 , 0.186274 ,  0.004678 ,     Not run ,  0.008444 ,      0.003744 ,        Not run
Basic_TRAP_INT            , 0.271738 ,   0.271706 , 0.271710 ,  0.002236 ,     Not run ,  0.001465 ,      0.003497 ,        Not run
Lcals_DIFF_PREDICT        , 0.810462 ,   0.810715 , 0.711326 ,  0.051762 ,     Not run ,  0.051652 ,      0.078058 ,        Not run
Lcals_EOS                 , 0.983417 ,   0.984692 , 0.984719 ,  0.021785 ,     Not run ,  0.021779 ,      0.046377 ,        Not run
Lcals_FIRST_DIFF          , 1.100906 ,   1.114606 , 1.115242 ,  0.047065 ,     Not run ,  0.047112 ,      0.146712 ,        Not run
Lcals_FIRST_MIN           , 0.079945 ,   0.079216 , 0.096194 ,  0.006029 ,     Not run ,  0.003417 ,      0.010554 ,        Not run
Lcals_FIRST_SUM           , 1.103123 ,   1.112852 , 1.112565 ,  0.047736 ,     Not run ,  0.050085 ,      0.151125 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.256746 ,   1.256766 , 1.257016 ,  0.051606 ,     Not run ,  0.046480 ,      0.096935 ,        Not run
Lcals_HYDRO_1D            , 0.864254 ,   0.865068 , 0.864908 ,  0.032682 ,     Not run ,  0.032797 ,      0.080841 ,        Not run
Lcals_HYDRO_2D            , 1.406773 ,   1.405811 , 1.418186 ,  0.022413 ,     Not run ,  0.024154 ,      0.038285 ,        Not run
Lcals_INT_PREDICT         , 1.186740 ,   1.186571 , 1.188167 ,  0.045070 ,     Not run ,  0.044986 ,      0.063880 ,        Not run
Lcals_PLANCKIAN           , 1.338619 ,   1.338514 , 1.339674 ,  0.002666 ,     Not run ,  0.002655 ,      0.005215 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.961847 ,   0.962087 , 0.962379 ,  0.043277 ,     Not run ,  0.043685 ,      0.092834 ,        Not run
Stream_ADD                , 0.662553 ,   0.662929 , 0.663258 ,  0.032477 ,    0.032498 ,  0.032545 ,      0.080824 ,        Not run
Stream_COPY               , 1.201545 ,   1.204219 , 0.818927 ,  0.042111 ,    0.042071 ,  0.042116 ,      0.131101 ,        Not run
Stream_DOT                , 3.292225 ,   3.291257 , 3.322508 ,  0.097476 ,     Not run ,  0.078721 ,      0.179423 ,        Not run
Stream_MUL                , 0.952449 ,   0.963016 , 0.963512 ,  0.042045 ,    0.042123 ,  0.042143 ,      0.131565 ,        Not run
Stream_TRIAD              , 0.657729 ,   0.657551 , 0.657856 ,  0.032523 ,    0.032508 ,  0.032524 ,      0.080362 ,        Not run
