FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , 0.00023         ,         , 1.5             ,OVER_TOL , -0.0033         ,        
Basic_DAXPY               , 0.0009          ,         , 0.0016          ,         , 0.012           ,        
Basic_IF_QUAD             , 0.017           ,         , 0.018           ,         , 0.078           ,        
Basic_INIT3               , -1.8e-05        ,         , 0.0027          ,         , 0.001           ,        
Basic_INIT_VIEW1D         , 9.8e-07         ,         , 0.00055         ,         , 0.0016          ,        
Basic_INIT_VIEW1D_OFFSET  , 6.4e-06         ,         , 0.15            ,OVER_TOL , -0.047          ,        
Basic_MULADDSUB           , 5.8e-05         ,         , 0.00038         ,         , 0.057           ,        
Basic_NESTED_INIT         , -0.00011        ,         , 8.3e-05         ,         , 0.00012         ,        
Basic_REDUCE3_INT         , -0.00038        ,         , 0.00027         ,         , 0.28            ,OVER_TOL
Basic_TRAP_INT            , 2.2e-06         ,         , 8.5e-05         ,         , -0.38           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00038        ,         , 8.3e-05         ,         , -0.38           ,        
Col Max                   , 0.017           ,         , 1.5             ,         , 0.28            ,        
Col Avg                   , 0.0018          ,         , 0.17            ,         , -0.00022        ,        
Col Std Dev               , 2.5e-05         ,         , 0.2             ,         , 0.024           ,        
