Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.281205 ,   1.281082 , 1.280663 ,  0.006764 ,    0.006834 ,  0.006753 ,       Not run ,        Not run
Apps_ENERGY               , 1.332730 ,   1.336164 , 1.332804 ,  0.037728 ,     Not run ,  0.037671 ,       Not run ,        Not run
Apps_FIR                  , 1.540410 ,   1.539241 , 1.419668 ,  0.004140 ,     Not run ,  0.004362 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.030708 ,   0.031631 , 0.038760 ,  0.036004 ,     Not run ,  0.035577 ,       Not run ,        Not run
Apps_LTIMES               , 1.710686 ,   1.712944 , 1.817318 ,  0.015433 ,    0.019864 ,  0.020308 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.709392 ,   1.709577 , 1.813506 ,  0.015425 ,    0.019863 ,  0.020271 ,       Not run ,        Not run
Apps_PRESSURE             , 1.575820 ,   1.574399 , 1.574043 ,  0.046786 ,     Not run ,  0.047465 ,       Not run ,        Not run
Apps_VOL3D                , 1.636250 ,   1.636677 , 1.651277 ,  0.006404 ,     Not run ,  0.005392 ,       Not run ,        Not run
Basic_DAXPY               , 0.279583 ,   0.287883 , 0.288882 ,  0.016340 ,    0.016358 ,  0.016364 ,      0.040546 ,        Not run
Basic_IF_QUAD             , 1.886516 ,   1.874789 , 1.892774 ,  0.011736 ,    0.013963 ,  0.013979 ,      0.021849 ,        Not run
Basic_INIT3               , 0.539529 ,   0.539549 , 0.539648 ,  0.026834 ,    0.026584 ,  0.026833 ,      0.051840 ,        Not run
Basic_INIT_VIEW1D         , 1.851222 ,   1.850012 , 1.850183 ,  0.030513 ,    0.030510 ,  0.030679 ,      0.183054 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719168 ,   1.719323 , 3.612034 ,  0.030487 ,    0.030611 ,  0.030422 ,      0.179712 ,        Not run
Basic_MULADDSUB           , 0.408479 ,   0.409470 , 0.407860 ,  0.018510 ,    0.024437 ,  0.024436 ,      0.036463 ,        Not run
Basic_NESTED_INIT         , 0.967599 ,   1.022336 , 0.975621 ,  0.017353 ,    0.017470 ,  0.017478 ,      0.074573 ,        Not run
Basic_PI_ATOMIC           , 0.119462 ,   0.119404 , 0.300867 ,  0.105179 ,    0.105160 ,  0.105212 ,      0.123683 ,        Not run
Basic_REDUCE3_INT         , 0.019012 ,   0.019017 , 0.186040 ,  0.004864 ,     Not run ,  0.008493 ,      0.003749 ,        Not run
Basic_TRAP_INT            , 0.271695 ,   0.271727 , 0.271737 ,  0.002285 ,     Not run ,  0.001470 ,      0.003525 ,        Not run
Lcals_DIFF_PREDICT        , 0.809533 ,   0.809350 , 0.708486 ,  0.051738 ,     Not run ,  0.051701 ,      0.077968 ,        Not run
Lcals_EOS                 , 0.983432 ,   0.984523 , 0.984524 ,  0.021823 ,     Not run ,  0.021838 ,      0.046505 ,        Not run
Lcals_FIRST_DIFF          , 1.090044 ,   1.106977 , 1.107664 ,  0.046352 ,     Not run ,  0.046385 ,      0.146482 ,        Not run
Lcals_FIRST_MIN           , 0.078336 ,   0.075776 , 0.094505 ,  0.006086 ,     Not run ,  0.003454 ,      0.009428 ,        Not run
Lcals_FIRST_SUM           , 1.095951 ,   1.105366 , 1.106981 ,  0.046337 ,     Not run ,  0.048753 ,      0.146342 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.247846 ,   1.247928 , 1.247699 ,  0.051599 ,     Not run ,  0.046327 ,      0.095601 ,        Not run
Lcals_HYDRO_1D            , 0.861272 ,   0.862052 , 0.862302 ,  0.032591 ,     Not run ,  0.032607 ,      0.080627 ,        Not run
Lcals_HYDRO_2D            , 1.397999 ,   1.397782 , 1.409369 ,  0.022319 ,     Not run ,  0.024076 ,      0.038136 ,        Not run
Lcals_INT_PREDICT         , 1.157369 ,   1.156689 , 1.155918 ,  0.045058 ,     Not run ,  0.045053 ,      0.063876 ,        Not run
Lcals_PLANCKIAN           , 1.338897 ,   1.338393 , 1.338942 ,  0.002670 ,     Not run ,  0.002656 ,      0.005198 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.966229 ,   0.967159 , 0.965967 ,  0.043359 ,     Not run ,  0.043453 ,      0.093013 ,        Not run
Stream_ADD                , 0.659369 ,   0.659942 , 0.660838 ,  0.032450 ,    0.032502 ,  0.032508 ,      0.080838 ,        Not run
Stream_COPY               , 1.208830 ,   1.214389 , 0.978042 ,  0.041427 ,    0.041456 ,  0.041476 ,      0.132356 ,        Not run
Stream_DOT                , 3.292096 ,   3.291588 , 3.325186 ,  0.100111 ,     Not run ,  0.079663 ,      0.179747 ,        Not run
Stream_MUL                , 0.955058 ,   0.967666 , 0.969185 ,  0.041427 ,    0.041478 ,  0.041510 ,      0.131554 ,        Not run
Stream_TRIAD              , 0.658073 ,   0.657683 , 0.658353 ,  0.032476 ,    0.032505 ,  0.032489 ,      0.080698 ,        Not run
