FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 1.1e-05         ,         , 1.5             ,OVER_TOL , -0.0019         ,         , 0.025           ,         , 0               ,        
Basic_DAXPY               , 5.9e-05         ,         , 0.0044          ,         , 0.032           ,         , 0.033           ,         , 0               ,        
Basic_IF_QUAD             , 0.015           ,         , 0.016           ,         , 0.078           ,         , 0.077           ,         , 0               ,        
Basic_INIT3               , 0.0002          ,         , 0.0014          ,         , 8.5e-05         ,         , 0.001           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00039         ,         , 0.00029         ,         , 0.0052          ,         , 0.012           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00046        ,         , 1.1             ,OVER_TOL , 0.025           ,         , 0.029           ,         , 0               ,        
Basic_MULADDSUB           , -8.5e-05        ,         , 0.00059         ,         , 0.04            ,         , 0.046           ,         , 0               ,        
Basic_NESTED_INIT         , -0.00022        ,         , 0.002           ,         , 0.0021          ,         , 0.0013          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0006         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.18            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.00053         ,         , -4.9e-06        ,         , 0               ,         , -0.38           ,         , 0               ,        
Stream_ADD                , 0.016           ,         , 0.018           ,         , 0.00053         ,         , 0.002           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0006         ,         , -4.9e-06        ,         , -0.0019         ,         , -0.38           ,         , 1.8e+308        ,        
Col Max                   , 0.016           ,         , 8.8             ,         , 0.078           ,         , 0.18            ,         , -1.8e+308       ,        
Col Avg                   , 0.0028          ,         , 1               ,         , 0.02            ,         , 0.0022          ,         , 0               ,        
Col Std Dev               , 3.7e-05         ,         , 6.3             ,         , 0.00063         ,         , 0.017           ,         , 0               ,        
