FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , 0.0014          ,         , -0.003          ,         , -0.026          ,         , -0.0049         ,        
Apps_ENERGY               , -0.0021         ,         , -0.00053        ,         , 0               ,         , 6.1e-05         ,        
Apps_FIR                  , 0.00076         ,         , -0.077          ,         , 0               ,         , 0.045           ,        
Apps_HALOEXCHANGE         , -0.33           ,         , -0.29           ,         , 0               ,         , -0.0043         ,        
Apps_LTIMES               , 0.0018          ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00079         ,         , 0.064           ,         , 0.28            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.0009         ,         , -0.0031         ,         , 0               ,         , 0.001           ,        
Apps_VOL3D                , 0.00032         ,         , 0.0086          ,         , 0               ,         , -0.18           ,        
Basic_DAXPY               , 0.027           ,         , 0.035           ,         , 0.00085         ,         , -4.6e-05        ,        
Basic_IF_QUAD             , -0.0039         ,         , 0.0047          ,         , 0.16            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_INIT3               , 0.0011          ,         , 0.00019         ,         , 1.5e-05         ,         , -0.0021         ,        
Basic_INIT_VIEW1D         , -0.00043        ,         , -0.00049        ,         , -0.00049        ,         , 0.0012          ,        
Basic_INIT_VIEW1D_OFFSET  , -2.3e-05        ,         , 1.1             ,OVER_TOL , 0.0031          ,         , 0.0045          ,        
Basic_MULADDSUB           , 0.0019          ,         , -0.0021         ,         , 0.17            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0084          ,         , 0.0024          ,         , 0.0041          ,        
Basic_PI_ATOMIC           , -0.00026        ,         , 1.5             ,OVER_TOL , -0.00017        ,         , 0.00026         ,        
Basic_REDUCE3_INT         , -9.3e-05        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.79            ,OVER_TOL
Basic_TRAP_INT            , -5.5e-05        ,         , 9.6e-06         ,         , 0               ,         , -0.35           ,        
Lcals_DIFF_PREDICT        , 9.5e-05         ,         , -0.12           ,         , 0               ,         , 0.014           ,        
Lcals_EOS                 , 0.0006          ,         , 0.00059         ,         , 0               ,         , -0.0018         ,        
Lcals_FIRST_DIFF          , 0.021           ,         , 0.023           ,         , 0               ,         , -0.00063        ,        
Lcals_FIRST_MIN           , 0.052           ,         , 0.28            ,OVER_TOL , 0               ,         , -0.42           ,        
Lcals_FIRST_SUM           , 0.0086          ,         , 0.011           ,         , 0               ,         , 0.047           ,        
Lcals_GEN_LIN_RECUR       , 0.00013         ,         , 0.00027         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00081         ,         , 0.00081         ,         , 0               ,         , -0.0029         ,        
Lcals_HYDRO_2D            , -0.00033        ,         , 0.0078          ,         , 0               ,         , 0.082           ,        
Lcals_INT_PREDICT         , -0.00013        ,         , -0.00018        ,         , 0               ,         , 0.0022          ,        
Lcals_PLANCKIAN           , 4e-05           ,         , 0.00028         ,         , 0               ,         , -0.0053         ,        
Lcals_TRIDIAG_ELIM        , -0.0018         ,         , -0.0018         ,         , 0               ,         , 0.0081          ,        
Stream_ADD                , 0.00045         ,         , 0.00037         ,         , 0.00023         ,         , 0.00058         ,        
Stream_COPY               , -0.0019         ,         , -0.29           ,         , -3.5e-05        ,         , -0.0011         ,        
Stream_DOT                , -0.00019        ,         , 0.01            ,         , 0               ,         , -0.2            ,        
Stream_MUL                , 0.0092          ,         , 0.011           ,         , 0.0027          ,         , 0.0016          ,        
Stream_TRIAD              , -0.00045        ,         , 0.0014          ,         , 0.0016          ,         , -0.00086        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.33           ,         , -0.29           ,         , -0.026          ,         , -0.42           ,        
Col Max                   , 0.056           ,         , 8.8             ,         , 0.29            ,         , 0.79            ,        
Col Avg                   , -0.0047         ,         , 0.33            ,         , 0.058           ,         , 0.02            ,        
Col Std Dev               , 0.0034          ,         , 2.3             ,         , 0.011           ,         , 0.037           ,        
