FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00011        ,         , -0.00085        ,         , -0.0044         ,         , -0.0014         ,        
Apps_ENERGY               , -7.2e-05        ,         , 0.00026         ,         , 0               ,         , -0.0011         ,        
Apps_FIR                  , -8.2e-06        ,         , -0.077          ,         , 0               ,         , 0.037           ,        
Apps_HALOEXCHANGE         , 0.1             ,OVER_TOL , 0.14            ,OVER_TOL , 0               ,         , -0.013          ,        
Apps_LTIMES               , 0.0017          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00084         ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , 1.4e-05         ,         , 0.00046         ,         , 0               ,         , 0.0051          ,        
Apps_VOL3D                , 0.00014         ,         , 0.0081          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.03            ,         , 0.04            ,         , 0.00063         ,         , 0.002           ,        
Basic_IF_QUAD             , -0.0066         ,         , 0.00077         ,         , 0.18            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_INIT3               , -2.7e-05        ,         , 0.00018         ,         , -0.0037         ,         , -0.00039        ,        
Basic_INIT_VIEW1D         , 9.2e-06         ,         , 4.4e-05         ,         , -0.0013         ,         , -0.0019         ,        
Basic_INIT_VIEW1D_OFFSET  , 5.3e-07         ,         , 1.1             ,OVER_TOL , 0.0033          ,         , 0.0093          ,        
Basic_MULADDSUB           , -0.0017         ,         , -0.0018         ,         , 0.18            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0083          ,         , 0.001           ,         , 0.0064          ,        
Basic_PI_ATOMIC           , -3.4e-06        ,         , 1.5             ,OVER_TOL , -7.5e-05        ,         , 0.00042         ,        
Basic_REDUCE3_INT         , -8.9e-05        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.68            ,OVER_TOL
Basic_TRAP_INT            , 4.4e-05         ,         , 0.00013         ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , 3.9e-05         ,         , -0.12           ,         , 0               ,         , 0.0021          ,        
Lcals_EOS                 , 0.00054         ,         , 0.00054         ,         , 0               ,         , -0.00075        ,        
Lcals_FIRST_DIFF          , 0.019           ,         , 0.022           ,         , 0               ,         , 7.4e-05         ,        
Lcals_FIRST_MIN           , -0.00037        ,         , 0.25            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.0098          ,         , 0.012           ,         , 0               ,         , 0.048           ,        
Lcals_GEN_LIN_RECUR       , 5.5e-05         ,         , 0.00013         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.001           ,         , 0.0011          ,         , 0               ,         , 0.00083         ,        
Lcals_HYDRO_2D            , -0.00073        ,         , 0.0069          ,         , 0               ,         , 0.089           ,        
Lcals_INT_PREDICT         , 0.00015         ,         , 0.0002          ,         , 0               ,         , 0.00042         ,        
Lcals_PLANCKIAN           , 2.5e-05         ,         , 0.0001          ,         , 0               ,         , -0.011          ,        
Lcals_TRIDIAG_ELIM        , -0.00033        ,         , 0.00025         ,         , 0               ,         , 0.0036          ,        
Stream_ADD                , 0.00049         ,         , 0.00048         ,         , -0.00029        ,         , 0.0022          ,        
Stream_COPY               , 0.0017          ,         , -0.29           ,         , 4.5e-05         ,         , 0.00043         ,        
Stream_DOT                , -0.00021        ,         , 0.0099          ,         , 0               ,         , -0.22           ,        
Stream_MUL                , 0.016           ,         , 0.021           ,         , 0.0015          ,         , 0.0028          ,        
Stream_TRIAD              , -0.00015        ,         , 0.0014          ,         , -0.0014         ,         , 1.2e-05         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0066         ,         , -0.29           ,         , -0.0044         ,         , -0.43           ,        
Col Max                   , 0.1             ,         , 8.8             ,         , 0.29            ,         , 0.68            ,        
Col Avg                   , 0.0067          ,         , 0.34            ,         , 0.061           ,         , 0.016           ,        
Col Std Dev               , 0.0004          ,         , 2.3             ,         , 0.011           ,         , 0.033           ,        
