FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , 0.0014          ,         , -0.0029         ,         , 0.012           ,         , -0.0059         ,        
Apps_ENERGY               , -0.0023         ,         , -0.0014         ,         , 0               ,         , -0.001          ,        
Apps_FIR                  , 1.5e-05         ,         , -0.078          ,         , 0               ,         , 0.052           ,        
Apps_HALOEXCHANGE         , 0.33            ,OVER_TOL , 0.49            ,OVER_TOL , 0               ,         , -0.013          ,        
Apps_LTIMES               , -2.7e-05        ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00074         ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.0015         ,         , -0.0033         ,         , 0               ,         , 0.0069          ,        
Apps_VOL3D                , 4.2e-06         ,         , 0.0097          ,         , 0               ,         , -0.2            ,        
Basic_DAXPY               , 0.027           ,         , 0.041           ,         , 0.00026         ,         , 0.0012          ,        
Basic_IF_QUAD             , -0.0059         ,         , 0.0047          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , -2.2e-06        ,         , 0.00013         ,         , -0.002          ,         , -0.0013         ,        
Basic_INIT_VIEW1D         , 4.8e-05         ,         , 8.4e-05         ,         , -0.00092        ,         , 0.0032          ,        
Basic_INIT_VIEW1D_OFFSET  , -2.5e-05        ,         , 1.1             ,OVER_TOL , 0.004           ,         , 0.0073          ,        
Basic_MULADDSUB           , -0.0017         ,         , -0.00072        ,         , 0.19            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0081          ,         , 0.0051          ,         , 0.0038          ,        
Basic_PI_ATOMIC           , 0.00046         ,         , 1.5             ,OVER_TOL , -0.0036         ,         , -0.0036         ,        
Basic_REDUCE3_INT         , 0.00012         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.66            ,OVER_TOL
Basic_TRAP_INT            , -6.8e-05        ,         , -4.4e-05        ,         , 0               ,         , -0.35           ,        
Lcals_DIFF_PREDICT        , -0.00013        ,         , -0.12           ,         , 0               ,         , 0.0062          ,        
Lcals_EOS                 , 0.0014          ,         , 0.0031          ,         , 0               ,         , 0.00041         ,        
Lcals_FIRST_DIFF          , 0.017           ,         , 0.02            ,         , 0               ,         , 0.00043         ,        
Lcals_FIRST_MIN           , -0.067          ,         , 0.16            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.012           ,         , 0.015           ,         , 0               ,         , 0.051           ,        
Lcals_GEN_LIN_RECUR       , -7.5e-05        ,         , 1.7e-05         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.0013          ,         , 0.0012          ,         , 0               ,         , -0.0003         ,        
Lcals_HYDRO_2D            , 6.4e-05         ,         , 0.0086          ,         , 0               ,         , 0.094           ,        
Lcals_INT_PREDICT         , -0.001          ,         , 6.1e-05         ,         , 0               ,         , 0.0029          ,        
Lcals_PLANCKIAN           , 6.2e-06         ,         , 7.3e-05         ,         , 0               ,         , -0.0093         ,        
Lcals_TRIDIAG_ELIM        , -0.00024        ,         , -0.00014        ,         , 0               ,         , 0.0023          ,        
Stream_ADD                , 0.00073         ,         , -0.00032        ,         , 0.0011          ,         , 0.0014          ,        
Stream_COPY               , -0.0018         ,         , -0.32           ,         , -0.00055        ,         , 0.0004          ,        
Stream_DOT                , -0.00013        ,         , 0.0032          ,         , 0               ,         , -0.23           ,        
Stream_MUL                , 0.0065          ,         , 0.0086          ,         , 0.0021          ,         , 0.0027          ,        
Stream_TRIAD              , -0.00074        ,         , 0.00036         ,         , 0.0011          ,         , 8.1e-05         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.067          ,         , -0.32           ,         , -0.0036         ,         , -0.43           ,        
Col Max                   , 0.33            ,         , 8.8             ,         , 0.29            ,         , 0.66            ,        
Col Avg                   , 0.011           ,         , 0.35            ,         , 0.063           ,         , 0.015           ,        
Col Std Dev               , 0.0034          ,         , 2.3             ,         , 0.011           ,         , 0.033           ,        
