Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            , 1.905078 ,    Not run , 2.021872 ,   Not run ,     Not run ,  0.021253 ,      0.086910 ,        Not run
Algorithm_SORTPAIRS       , 2.045749 ,    Not run , 2.173643 ,   Not run ,     Not run ,  0.023161 ,      0.000000 ,        Not run
Apps_DEL_DOT_VEC_2D       , 1.282875 ,   1.282272 , 1.278393 ,  0.006889 ,    0.006783 ,  0.006858 ,      0.066585 ,        Not run
Apps_ENERGY               , 1.344913 ,   1.347924 , 1.341413 ,  0.037725 ,     Not run ,  0.037736 ,      0.126930 ,        Not run
Apps_FIR                  , 1.557934 ,   1.539245 , 1.422580 ,  0.004144 ,     Not run ,  0.004325 ,      0.022642 ,        Not run
Apps_HALOEXCHANGE         , 0.029864 ,   0.032938 , 0.038350 ,  0.034899 ,     Not run ,  0.034466 ,      1.097498 ,        Not run
Apps_LTIMES               , 1.707682 ,   1.705454 , 1.825162 ,  0.013578 ,    0.015950 ,  0.016407 ,      0.026228 ,        Not run
Apps_LTIMES_NOVIEW        , 1.707902 ,   1.706274 , 1.802486 ,  0.013571 ,    0.015901 ,  0.016315 ,       Not run ,        Not run
Apps_PRESSURE             , 1.588606 ,   1.588510 , 1.590743 ,  0.046802 ,     Not run ,  0.047165 ,      0.204927 ,        Not run
Apps_VOL3D                , 1.635176 ,   1.635521 , 1.648126 ,  0.006392 ,     Not run ,  0.005305 ,      0.018533 ,        Not run
Basic_DAXPY               , 0.287609 ,   0.293112 , 0.298868 ,  0.016408 ,    0.016430 ,  0.016432 ,      0.070084 ,        Not run
Basic_IF_QUAD             , 1.887293 ,   1.875027 , 1.898832 ,  0.012201 ,    0.014173 ,  0.014290 ,      0.032333 ,        Not run
Basic_INIT3               , 0.560513 ,   0.560492 , 0.560565 ,  0.027040 ,    0.027091 ,  0.026973 ,      0.080709 ,        Not run
Basic_INIT_VIEW1D         , 1.850150 ,   1.851172 , 1.850253 ,  0.030393 ,    0.030395 ,  0.030479 ,      0.349000 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719150 ,   1.719165 , 3.610223 ,  0.030354 ,    0.030476 ,  0.030524 ,      0.348776 ,        Not run
Basic_MULADDSUB           , 0.416802 ,   0.416020 , 0.416021 ,  0.018943 ,    0.022315 ,  0.022256 ,      0.056666 ,        Not run
Basic_NESTED_INIT         , 1.022353 ,   1.022399 , 0.966704 ,  0.011739 ,    0.011788 ,  0.012869 ,      0.140207 ,        Not run
Basic_PI_ATOMIC           , 0.119408 ,   0.119410 , 0.300885 ,  0.110897 ,    0.108339 ,  0.105195 ,      0.160367 ,        Not run
Basic_REDUCE3_INT         , 0.019012 ,   0.019012 , 0.186296 ,  0.002105 ,     Not run ,  0.002570 ,      0.010326 ,        Not run
Basic_TRAP_INT            , 0.271719 ,   0.271727 , 0.271708 ,  0.002328 ,     Not run ,  0.001490 ,      0.010121 ,        Not run
Lcals_DIFF_PREDICT        , 0.810686 ,   0.810818 , 0.710118 ,  0.052223 ,     Not run ,  0.051420 ,      0.082101 ,        Not run
Lcals_EOS                 , 0.984686 ,   0.984764 , 0.984525 ,  0.021768 ,     Not run ,  0.021759 ,      0.074808 ,        Not run
Lcals_FIRST_DIFF          , 1.098812 ,   1.118752 , 1.125828 ,  0.047078 ,     Not run ,  0.047046 ,      0.280541 ,        Not run
Lcals_FIRST_MIN           , 0.075809 ,   0.076810 , 0.095703 ,  0.006321 ,     Not run ,  0.003512 ,      0.022705 ,        Not run
Lcals_FIRST_SUM           , 1.094011 ,   1.117562 , 1.125457 ,  0.047054 ,     Not run ,  0.049598 ,      0.280947 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.267320 ,   1.267618 , 1.267160 ,  0.051424 ,     Not run ,  0.046103 ,      0.151289 ,        Not run
Lcals_HYDRO_1D            , 0.862015 ,   0.861284 , 0.863095 ,  0.032688 ,     Not run ,  0.032668 ,      0.140845 ,        Not run
Lcals_HYDRO_2D            , 1.407364 ,   1.412897 , 1.409162 ,  0.021855 ,     Not run ,  0.022714 ,      0.054820 ,        Not run
Lcals_INT_PREDICT         , 1.170592 ,   1.170139 , 1.170259 ,  0.045156 ,     Not run ,  0.045202 ,      0.087171 ,        Not run
Lcals_PLANCKIAN           , 1.343603 ,   1.343518 , 1.345252 ,  0.002668 ,     Not run ,  0.002673 ,      0.008124 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.941468 ,   0.941814 , 0.942067 ,  0.043212 ,     Not run ,  0.043311 ,      0.149330 ,        Not run
Stream_ADD                , 0.678018 ,   0.677047 , 0.677255 ,  0.032606 ,    0.032638 ,  0.032644 ,      0.140846 ,        Not run
Stream_COPY               , 1.206496 ,   1.212791 , 0.958849 ,  0.042028 ,    0.042030 ,  0.042035 ,      0.252617 ,        Not run
Stream_DOT                , 3.291595 ,   3.291230 , 3.343204 ,  0.100818 ,     Not run ,  0.079536 ,      0.441447 ,        Not run
Stream_MUL                , 0.952834 ,   0.972719 , 0.976553 ,  0.042078 ,    0.042170 ,  0.042162 ,      0.251821 ,        Not run
Stream_TRIAD              , 0.646876 ,   0.647256 , 0.647216 ,  0.032568 ,    0.032565 ,  0.032569 ,      0.140798 ,        Not run
