FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00027        ,         , 1.5             ,OVER_TOL , 0.0018          ,         , 0.022           ,         , 0               ,        
Basic_DAXPY               , -0.0002         ,         , -0.0032         ,         , -0.0079         ,         , 0.041           ,         , 0               ,        
Basic_IF_QUAD             , 0.0032          ,         , 0.0075          ,         , 0.074           ,         , 0.074           ,         , 0               ,        
Basic_INIT3               , -0.00033        ,         , 0.0014          ,         , 0.0035          ,         , 0.0068          ,         , 0               ,        
Basic_INIT_VIEW1D         , -5e-05          ,         , 0.00019         ,         , 0.0006          ,         , -9.4e-05        ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00046        ,         , 1.1             ,OVER_TOL , 0.00086         ,         , -0.0083         ,         , 0               ,        
Basic_MULADDSUB           , -0.00011        ,         , 0.00085         ,         , 0.087           ,         , 0.088           ,         , 0               ,        
Basic_NESTED_INIT         , -1.4e-05        ,         , 0.0026          ,         , 0.0014          ,         , 0.00039         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00025        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.11            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -7.6e-05        ,         , -2.4e-05        ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , 0.01            ,         , 0.015           ,         , -8.6e-06        ,         , 0.0017          ,         , 0               ,        
Stream_COPY               , 0.0035          ,         , -0.23           ,         , 0.00031         ,         , 0.00095         ,         , 0               ,        
Stream_DOT                , -0.00037        ,         , 0.00025         ,         , 0               ,         , -0.2            ,         , 0               ,        
Stream_MUL                , 0.004           ,         , 0.0046          ,         , 0.0023          ,         , 0.003           ,         , 0               ,        
Stream_TRIAD              , 0.0044          ,         , 0.0081          ,         , -0.0002         ,         , -0.00057        ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00046        ,         , -0.23           ,         , -0.0079         ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.01            ,         , 8.6             ,         , 0.087           ,         , 0.11            ,         , -1.8e+308       ,        
Col Avg                   , 0.0016          ,         , 0.73            ,         , 0.014           ,         , -0.018          ,         , 0               ,        
Col Std Dev               , 8.6e-06         ,         , 4.6             ,         , 0.00091         ,         , 0.015           ,         , 0               ,        
