FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00046         ,         , 1.5             ,OVER_TOL , -0.00082        ,         , 0.031           ,         , 0               ,        
Basic_DAXPY               , 4.1e-05         ,         , -0.0013         ,         , -0.012          ,         , 0.019           ,         , 0               ,        
Basic_IF_QUAD             , 0.019           ,         , 0.018           ,         , 0.083           ,         , 0.067           ,         , 0               ,        
Basic_INIT3               , -2.5e-05        ,         , 0.00083         ,         , -0.0023         ,         , -0.0039         ,         , 0               ,        
Basic_INIT_VIEW1D         , 4.9e-05         ,         , 0.00056         ,         , 0.001           ,         , 0.00028         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 5e-05           ,         , 1.1             ,OVER_TOL , 0.0022          ,         , 0.004           ,         , 0               ,        
Basic_MULADDSUB           , -0.00018        ,         , 0.00084         ,         , 0.031           ,         , 0.027           ,         , 0               ,        
Basic_NESTED_INIT         , 9.2e-05         ,         , 0.0028          ,         , 0.0012          ,         , -0.0001         ,         , 0               ,        
Basic_REDUCE3_INT         , 4e-05           ,         , 8.5             ,OVER_TOL , 0               ,         , 0.23            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 1.9e-05         ,         , -3.4e-05        ,         , 0               ,         , -0.38           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00018        ,         , -0.0013         ,         , -0.012          ,         , -0.38           ,         , 1.8e+308        ,        
Col Max                   , 0.019           ,         , 8.5             ,         , 0.083           ,         , 0.23            ,         , -1.8e+308       ,        
Col Avg                   , 0.002           ,         , 1.1             ,         , 0.013           ,         , -0.0014         ,         , 0               ,        
Col Std Dev               , 3.3e-05         ,         , 6.4             ,         , 0.00084         ,         , 0.021           ,         , 0               ,        
