FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00038        ,         , 1.5             ,OVER_TOL , -0.029          ,         , -0.0012         ,         , 0               ,        
Basic_DAXPY               , -8.8e-05        ,         , -0.0028         ,         , 0.021           ,         , 0.026           ,         , 0               ,        
Basic_IF_QUAD             , 0.0057          ,         , 0.0085          ,         , 0.075           ,         , 0.072           ,         , 0               ,        
Basic_INIT3               , -0.00042        ,         , 0.0013          ,         , 0.00073         ,         , 0.0023          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00035         ,         , 0.00014         ,         , 0.00012         ,         , 0.00096         ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00054        ,         , 1.1             ,OVER_TOL , 0.0008          ,         , 0.027           ,         , 0               ,        
Basic_MULADDSUB           , -6.1e-05        ,         , 0.00075         ,         , 0.072           ,         , 0.088           ,         , 0               ,        
Basic_NESTED_INIT         , 5.3e-05         ,         , 0.0034          ,         , 0.0013          ,         , 0.0012          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00022        ,         , 8.6             ,OVER_TOL , 0               ,         , 0.17            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -4.8e-05        ,         , 0.00069         ,         , 0               ,         , -0.4            ,         , 0               ,        
Stream_ADD                , 0.001           ,         , 0.0024          ,         , 0.0015          ,         , 0.0018          ,         , 0               ,        
Stream_COPY               , -0.0035         ,         , -0.32           ,         , 1.3e-05         ,         , 8.8e-05         ,         , 0               ,        
Stream_DOT                , 0.0001          ,         , -0.00023        ,         , 0               ,         , -0.17           ,         , 0               ,        
Stream_MUL                , 0.0046          ,         , 0.0047          ,         , 0.0015          ,         , 0.0021          ,         , 0               ,        
Stream_TRIAD              , 0.0042          ,         , 0.0067          ,         , 0.00037         ,         , 0.00015         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0035         ,         , -0.32           ,         , -0.029          ,         , -0.4            ,         , 1.8e+308        ,        
Col Max                   , 0.0057          ,         , 8.6             ,         , 0.075           ,         , 0.17            ,         , -1.8e+308       ,        
Col Avg                   , 0.00072         ,         , 0.73            ,         , 0.012           ,         , -0.012          ,         , 0               ,        
Col Std Dev               , 5.1e-06         ,         , 4.6             ,         , 0.00086         ,         , 0.015           ,         , 0               ,        
