FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Apps_DEL_DOT_VEC_2D       , -3e-05          ,         , -0.0016         ,         , -0.033          ,         , 0.0043          ,         , 0               ,        
Apps_ENERGY               , -0.0027         ,         , -0.065          ,         , 0               ,         , -0.0046         ,         , 0               ,        
Apps_FIR                  , -0.001          ,         , -0.082          ,         , 0               ,         , 0.054           ,         , 0               ,        
Apps_HALOEXCHANGE         , -0.09           ,         , -0.046          ,         , 0               ,         , 0.0067          ,         , -0.91           ,        
Apps_LTIMES               , 7.2e-05         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL , 0               ,        
Apps_LTIMES_NOVIEW        , -0.00045        ,         , 0.064           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL , 0               ,        
Apps_PRESSURE             , -0.072          ,         , -0.075          ,         , 0               ,         , 0.0067          ,         , 0               ,        
Apps_VOL3D                , -0.00022        ,         , 0.0051          ,         , 0               ,         , -0.15           ,         , 0               ,        
Basic_ATOMIC_PI           , 3.2e-05         ,         , 1.5             ,OVER_TOL , -0.0029         ,         , 0.023           ,         , 0               ,        
Basic_DAXPY               , -0.00016        ,         , -0.0031         ,         , -0.014          ,         , -0.0014         ,         , 0               ,        
Basic_IF_QUAD             , 0.0062          ,         , 0.006           ,         , 0.079           ,         , 0.08            ,         , 0               ,        
Basic_INIT3               , 0.0013          ,         , 0.003           ,         , -0.0098         ,         , 0.009           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00045         ,         , 0.00026         ,         , 0.00025         ,         , 0.0012          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -3.9e-05        ,         , 1.1             ,OVER_TOL , 0.021           ,         , 0.036           ,         , 0               ,        
Basic_MULADDSUB           , 7.4e-05         ,         , 0.00083         ,         , -0.0024         ,         , 0.0095          ,         , 0               ,        
Basic_NESTED_INIT         , -5.1e-05        ,         , 0.0024          ,         , 0.0011          ,         , 0.00076         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00017        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.067           ,         , 0               ,        
Basic_TRAP_INT            , -5e-05          ,         , -9.7e-05        ,         , 0               ,         , -0.41           ,         , 0               ,        
Lcals_DIFF_PREDICT        , 0.00024         ,         , -0.15           ,         , 0               ,         , -0.00017        ,         , 0               ,        
Lcals_EOS                 , 0.00023         ,         , 0.0015          ,         , 0               ,         , 0.0039          ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0017          ,         , 0.0017          ,         , 0               ,         , 0.012           ,         , 0               ,        
Lcals_FIRST_MIN           , 0.058           ,         , 0.26            ,OVER_TOL , 0               ,         , -0.44           ,         , 0               ,        
Lcals_FIRST_SUM           , -0.0003         ,         , 0.0039          ,         , 0               ,         , 0.0021          ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.0004         ,         , -0.00013        ,         , 0               ,         , 0.0028          ,         , 0               ,        
Lcals_HYDRO_1D            , 0.0011          ,         , 0.0023          ,         , 0               ,         , -0.00014        ,         , 0               ,        
Lcals_HYDRO_2D            , -0.00048        ,         , 0.0081          ,         , 0               ,         , 0.088           ,         , 0               ,        
Lcals_INT_PREDICT         , 0.0042          ,         , 0.0044          ,         , 0               ,         , 0.017           ,         , 0               ,        
Lcals_PLANCKIAN           , -6.9e-05        ,         , 4.5e-06         ,         , 0               ,         , -0.011          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.00075        ,         , -0.00016        ,         , 0               ,         , 0.035           ,         , 0               ,        
Stream_ADD                , 0.00073         ,         , 0.0016          ,         , 0.0014          ,         , 0.0016          ,         , 0               ,        
Stream_COPY               , 0.0037          ,         , -0.28           ,         , 0.00054         ,         , 0.0015          ,         , 0               ,        
Stream_DOT                , -0.00042        ,         , 0.00012         ,         , 0               ,         , -0.23           ,         , 0               ,        
Stream_MUL                , 0.017           ,         , 0.02            ,         , 0.0025          ,         , 0.0028          ,         , 0               ,        
Stream_TRIAD              , 0.002           ,         , 0.0033          ,         , -0.00055        ,         , 0.00017         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.09           ,         , -0.28           ,         , -0.033          ,         , -0.44           ,         , -0.91           ,        
Col Max                   , 0.058           ,         , 8.8             ,         , 0.29            ,         , 0.32            ,         , -0.91           ,        
Col Avg                   , -0.0021         ,         , 0.33            ,         , 0.041           ,         , -0.0047         ,         , -0.91           ,        
Col Std Dev               , 0.0005          ,         , 2.3             ,         , 0.0098          ,         , 0.02            ,         , 0               ,        
