FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , 0.0014          ,         , -0.003          ,         , -0.0018         ,         , -0.00052        ,        
Apps_ENERGY               , -0.0029         ,         , -0.003          ,         , 0               ,         , 0.0035          ,        
Apps_FIR                  , 8.6e-05         ,         , -0.077          ,         , 0               ,         , 0.051           ,        
Apps_HALOEXCHANGE         , 0.16            ,OVER_TOL , 0.54            ,OVER_TOL , 0               ,         , -0.013          ,        
Apps_LTIMES               , 0.00074         ,         , 0.061           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00041         ,         , 0.062           ,         , 0.28            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , 0.00018         ,         , -0.0013         ,         , 0               ,         , 0.0081          ,        
Apps_VOL3D                , 0.00013         ,         , 0.0092          ,         , 0               ,         , -0.18           ,        
Basic_DAXPY               , 0.019           ,         , 0.026           ,         , 0.0012          ,         , 0.0013          ,        
Basic_IF_QUAD             , -0.006          ,         , 0.0051          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , -0.00014        ,         , 8.2e-05         ,         , -0.00026        ,         , -0.0019         ,        
Basic_INIT_VIEW1D         , -5.2e-05        ,         , 2.8e-05         ,         , -0.00044        ,         , 0.0032          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0001          ,         , 1.1             ,OVER_TOL , 0.004           ,         , 0.0068          ,        
Basic_MULADDSUB           , -0.002          ,         , -0.0019         ,         , 0.17            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0086          ,         , 0.0047          ,         , 0.0071          ,        
Basic_PI_ATOMIC           , -0.00021        ,         , 1.5             ,OVER_TOL , -0.012          ,         , -0.088          ,        
Basic_REDUCE3_INT         , 0.00039         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.64            ,OVER_TOL
Basic_TRAP_INT            , 8.1e-05         ,         , -4.2e-05        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 9.5e-05         ,         , -0.12           ,         , 0               ,         , -0.0038         ,        
Lcals_EOS                 , 0.0011          ,         , 0.0027          ,         , 0               ,         , -0.00059        ,        
Lcals_FIRST_DIFF          , 0.012           ,         , 0.015           ,         , 0               ,         , 0.00058         ,        
Lcals_FIRST_MIN           , -0.051          ,         , 0.21            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.0085          ,         , 0.012           ,         , 0               ,         , 0.051           ,        
Lcals_GEN_LIN_RECUR       , 4.2e-05         ,         , -5.5e-05        ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.0012          ,         , 0.0012          ,         , 0               ,         , 0.0013          ,        
Lcals_HYDRO_2D            , 6e-05           ,         , 0.0073          ,         , 0               ,         , 0.085           ,        
Lcals_INT_PREDICT         , -0.0016         ,         , 0.00082         ,         , 0               ,         , 0.0013          ,        
Lcals_PLANCKIAN           , 0.00024         ,         , -9.4e-06        ,         , 0               ,         , -0.0017         ,        
Lcals_TRIDIAG_ELIM        , -7.7e-05        ,         , 9.2e-06         ,         , 0               ,         , 0.01            ,        
Stream_ADD                , -0.0006         ,         , 0.0001          ,         , 0.00094         ,         , 0.0016          ,        
Stream_COPY               , 0.0024          ,         , -0.28           ,         , -0.0012         ,         , -0.012          ,        
Stream_DOT                , -0.00026        ,         , 0.0092          ,         , 0               ,         , -0.22           ,        
Stream_MUL                , 0.01            ,         , 0.013           ,         , 0.0023          ,         , 0.0026          ,        
Stream_TRIAD              , -0.00048        ,         , -0.00015        ,         , -0.00019        ,         , -0.00033        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.051          ,         , -0.28           ,         , -0.012          ,         , -0.44           ,        
Col Max                   , 0.16            ,         , 8.8             ,         , 0.29            ,         , 0.64            ,        
Col Avg                   , 0.0063          ,         , 0.35            ,         , 0.06            ,         , 0.012           ,        
Col Std Dev               , 0.00095         ,         , 2.3             ,         , 0.011           ,         , 0.032           ,        
