FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.00042         ,         , 1.5             ,OVER_TOL , 0.00043         ,         , 0.024           ,         , 0               ,        
Basic_DAXPY               , 8.5e-05         ,         , -0.0013         ,         , -0.0067         ,         , 0.011           ,         , 0               ,        
Basic_IF_QUAD             , 0.017           ,         , 0.019           ,         , 0.081           ,         , 0.081           ,         , 0               ,        
Basic_INIT3               , 2.6e-05         ,         , -0.0004         ,         , -0.012          ,         , 0.011           ,         , 0               ,        
Basic_INIT_VIEW1D         , -2.7e-05        ,         , 0.00065         ,         , 0.00019         ,         , -0.032          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 1.6e-05         ,         , 1.1             ,OVER_TOL , 0.0015          ,         , 0.0029          ,         , 0               ,        
Basic_MULADDSUB           , -9.4e-05        ,         , 0.00072         ,         , 0.0074          ,         , 0.0055          ,         , 0               ,        
Basic_NESTED_INIT         , -2.1e-05        ,         , 0.0027          ,         , 0.00093         ,         , 0.00021         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00022        ,         , 8.5             ,OVER_TOL , 0               ,         , 0.073           ,         , 0               ,        
Basic_TRAP_INT            , -0.00082        ,         , -0.00082        ,         , 0               ,         , -0.39           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00082        ,         , -0.0013         ,         , -0.012          ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.017           ,         , 8.5             ,         , 0.081           ,         , 0.081           ,         , -1.8e+308       ,        
Col Avg                   , 0.0017          ,         , 1.1             ,         , 0.0091          ,         , -0.021          ,         , 0               ,        
Col Std Dev               , 2.8e-05         ,         , 6.4             ,         , 0.00076         ,         , 0.016           ,         , 0               ,        
