FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , -9.8e-05        ,         , 1.5             ,OVER_TOL , -0.00052        ,        
Basic_DAXPY               , 0.00083         ,         , 0.0015          ,         , -0.02           ,        
Basic_IF_QUAD             , 0.018           ,         , 0.017           ,         , 0.076           ,        
Basic_INIT3               , -7e-06          ,         , 0.00034         ,         , 0.005           ,        
Basic_INIT_VIEW1D         , -3.8e-06        ,         , 7.1e-05         ,         , 0.0017          ,        
Basic_INIT_VIEW1D_OFFSET  , -2.1e-05        ,         , 0.15            ,OVER_TOL , -0.043          ,        
Basic_MULADDSUB           , -3.7e-05        ,         , 0.0002          ,         , 0.0097          ,        
Basic_NESTED_INIT         , -5.7e-08        ,         , 3.7e-05         ,         , 0.0025          ,        
Basic_REDUCE3_INT         , -0.00071        ,         , -0.00035        ,         , 0.17            ,OVER_TOL
Basic_TRAP_INT            , 1.9e-05         ,         , 3.8e-05         ,         , -0.38           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.00071        ,         , -0.00035        ,         , -0.38           ,        
Col Max                   , 0.018           ,         , 1.5             ,         , 0.17            ,        
Col Avg                   , 0.0018          ,         , 0.17            ,         , -0.018          ,        
Col Std Dev               , 3.1e-05         ,         , 0.2             ,         , 0.018           ,        
