FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.66           ,         , -0.13           ,         , -0.11           ,         , -0.048          ,         , 0               ,        
Basic_DAXPY               , -0.79           ,         , 0.075           ,         , -0.046          ,         , -0.055          ,         , 0               ,        
Basic_IF_QUAD             , -0.12           ,         , -0.039          ,         , -0.061          ,         , 0.032           ,         , 0               ,        
Basic_INIT3               , -0.75           ,         , 0.045           ,         , -0.021          ,         , 0.077           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.28           ,         , 0.45            ,OVER_TOL , 0.061           ,         , 0.016           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.74           ,         , 0.33            ,OVER_TOL , -0.014          ,         , 0.0056          ,         , 0               ,        
Basic_MULADDSUB           , -0.85           ,         , -0.82           ,         , -0.032          ,         , 0.082           ,         , 0               ,        
Basic_NESTED_INIT         , -0.74           ,         , -0.73           ,         , -0.011          ,         , -0.053          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.83           ,         , -0.89           ,         , 0               ,         , 0.01            ,         , 0               ,        
Basic_TRAP_INT            , -0.76           ,         , -0.7            ,         , 0               ,         , -0.0011         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.85           ,         , -0.89           ,         , -0.11           ,         , -0.055          ,         , 1.8e+308        ,        
Col Max                   , -0.12           ,         , 0.45            ,         , 0.061           ,         , 0.082           ,         , -1.8e+308       ,        
Col Avg                   , -0.65           ,         , -0.24           ,         , -0.029          ,         , 0.0068          ,         , 0               ,        
Col Std Dev               , 0.054           ,         , 0.22            ,         , 0.002           ,         , 0.0022          ,         , 0               ,        
