FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.026          ,         , -0.18           ,         , -0.037          ,         , -0.0027         ,         , 0               ,        
Basic_DAXPY               , -0.82           ,         , -0.57           ,         , -0.0091         ,         , -0.0037         ,         , 0               ,        
Basic_IF_QUAD             , -0.7            ,         , -0.24           ,         , -0.033          ,         , 0.048           ,         , 0               ,        
Basic_INIT3               , -0.71           ,         , 0.21            ,OVER_TOL , -0.036          ,         , 0.017           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.74           ,         , -0.37           ,         , -0.002          ,         , -0.017          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.42           ,         , 0.96            ,OVER_TOL , 0.14            ,OVER_TOL , 0.086           ,         , 0               ,        
Basic_MULADDSUB           , -0.78           ,         , -0.76           ,         , -0.041          ,         , 0.00097         ,         , 0               ,        
Basic_NESTED_INIT         , -0.76           ,         , -0.77           ,         , -0.06           ,         , -0.046          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.69           ,         , -0.76           ,         , 0               ,         , 0.0087          ,         , 0               ,        
Basic_TRAP_INT            , -0.25           ,         , 0.047           ,         , 0               ,         , 0.066           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.82           ,         , -0.77           ,         , -0.06           ,         , -0.046          ,         , 1.8e+308        ,        
Col Max                   , -0.026          ,         , 0.96            ,         , 0.14            ,         , 0.086           ,         , -1.8e+308       ,        
Col Avg                   , -0.59           ,         , -0.24           ,         , -0.0099         ,         , 0.016           ,         , 0               ,        
Col Std Dev               , 0.064           ,         , 0.27            ,         , 0.0034          ,         , 0.0014          ,         , 0               ,        
