Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      0.999 ,    0.397 ,     0.189 ,     0.189 ,         0.037 ,        Not run
Basic_DAXPY               ,    1.000 ,      0.999 ,    0.998 ,    10.665 ,    10.913 ,         7.269 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      0.982 ,    0.979 ,   158.116 ,   146.771 ,       110.726 ,        Not run
Basic_INIT3               ,    1.000 ,      1.000 ,    1.000 ,    15.334 ,    15.349 ,         8.651 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.000 ,    0.999 ,    61.613 ,    61.497 ,        25.258 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    0.873 ,    56.095 ,    59.630 ,        24.404 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.000 ,    1.000 ,    22.768 ,    22.495 ,        12.041 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.000 ,    1.000 ,   103.220 ,   103.105 ,        33.187 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.000 ,    0.999 ,     3.859 ,     3.311 ,        11.357 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.000 ,    0.999 ,    18.843 ,    29.975 ,        23.049 ,        Not run
