FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.069           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.069           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.00045        ,         , -0.0056         ,         , -0.018          ,         , 1e-05           ,        
Apps_ENERGY               , 0.0003          ,         , 0.0026          ,         , 0               ,         , 0.00047         ,        
Apps_FIR                  , -1.6e-05        ,         , -0.077          ,         , 0               ,         , 0.051           ,        
Apps_HALOEXCHANGE         , 0.14            ,OVER_TOL , -0.0087         ,         , 0               ,         , -0.0098         ,        
Apps_LTIMES               , 0.0003          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.0026         ,         , 0.06            ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.0018         ,         , -0.0068         ,         , 0               ,         , 0.0062          ,        
Apps_VOL3D                , 0.00024         ,         , 0.008           ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.041           ,         , 0.054           ,         , 0.00048         ,         , 0.0022          ,        
Basic_IF_QUAD             , -0.0061         ,         , 0.0026          ,         , 0.2             ,OVER_TOL , 0.19            ,OVER_TOL
Basic_INIT3               , 8.9e-05         ,         , 0.0004          ,         , -0.0095         ,         , 0.00015         ,        
Basic_INIT_VIEW1D         , 2e-05           ,         , 9.3e-05         ,         , -0.00015        ,         , 0.0048          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00061         ,         , 1.1             ,OVER_TOL , 0.0029          ,         , 0.0075          ,        
Basic_MULADDSUB           , -0.0018         ,         , -0.0018         ,         , 0.21            ,OVER_TOL , 0.21            ,OVER_TOL
Basic_NESTED_INIT         , 0.057           ,         , 0.0091          ,         , 0.0035          ,         , 0.0055          ,        
Basic_PI_ATOMIC           , -0.00033        ,         , 1.5             ,OVER_TOL , -0.00011        ,         , 0.00034         ,        
Basic_REDUCE3_INT         , 0.00016         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.55            ,OVER_TOL
Basic_TRAP_INT            , -8.4e-05        ,         , -3.4e-05        ,         , 0               ,         , -0.37           ,        
Lcals_DIFF_PREDICT        , -6.9e-05        ,         , -0.12           ,         , 0               ,         , 0.002           ,        
Lcals_EOS                 , 0.0012          ,         , 0.0012          ,         , 0               ,         , 0.00044         ,        
Lcals_FIRST_DIFF          , 0.025           ,         , 0.032           ,         , 0               ,         , 3.6e-05         ,        
Lcals_FIRST_MIN           , 0.0021          ,         , 0.26            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.013           ,         , 0.013           ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , 0.0002          ,         , 0.00031         ,         , 0               ,         , -0.097          ,        
Lcals_HYDRO_1D            , -0.001          ,         , -0.00081        ,         , 0               ,         , 0.00028         ,        
Lcals_HYDRO_2D            , -0.00099        ,         , 0.0079          ,         , 0               ,         , 0.096           ,        
Lcals_INT_PREDICT         , -0.0021         ,         , 0.00019         ,         , 0               ,         , -0.0023         ,        
Lcals_PLANCKIAN           , 0.0006          ,         , -0.0003         ,         , 0               ,         , -0.0064         ,        
Lcals_TRIDIAG_ELIM        , 9e-05           ,         , 0.00036         ,         , 0               ,         , 0.0087          ,        
Stream_ADD                , -0.0021         ,         , -0.0033         ,         , 0.00097         ,         , 0.0013          ,        
Stream_COPY               , 0.0028          ,         , -0.21           ,         , 0.00065         ,         , 0.0012          ,        
Stream_DOT                , -0.00024        ,         , 0.0096          ,         , 0               ,         , -0.22           ,        
Stream_MUL                , 0.012           ,         , 0.014           ,         , 0.0018          ,         , 0.0027          ,        
Stream_TRIAD              , 0.001           ,         , 0.0014          ,         , -0.00018        ,         , -0.00014        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0061         ,         , -0.21           ,         , -0.018          ,         , -0.44           ,        
Col Max                   , 0.14            ,         , 8.8             ,         , 0.29            ,         , inf             ,        
Col Avg                   , 0.0083          ,         , 0.32            ,         , 0.064           ,         , inf             ,        
Col Std Dev               , 0.00071         ,         , 2.2             ,         , 0.012           ,         , nan             ,        
