FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Algorithm_SORT            , 0               ,         , 0.06            ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.064           ,         , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.00041        ,         , -0.0018         ,         , -0.017          ,         , -8e-05          ,        
Apps_ENERGY               , 0.00031         ,         , 0.0023          ,         , 0               ,         , 0.0021          ,        
Apps_FIR                  , -0.012          ,         , -0.086          ,         , 0               ,         , 0.04            ,        
Apps_HALOEXCHANGE         , -0.035          ,         , 0.045           ,         , 0               ,         , -0.013          ,        
Apps_LTIMES               , -0.00025        ,         , 0.07            ,         , 0.17            ,OVER_TOL , 0.2             ,OVER_TOL
Apps_LTIMES_NOVIEW        , -0.00045        ,         , 0.055           ,         , 0.17            ,OVER_TOL , 0.2             ,OVER_TOL
Apps_PRESSURE             , -0.00017        ,         , -0.00041        ,         , 0               ,         , 0.0043          ,        
Apps_VOL3D                , 0.0003          ,         , 0.0079          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.018           ,         , 0.023           ,         , 0.0016          ,         , 0.0019          ,        
Basic_IF_QUAD             , -0.0069         ,         , 0.0023          ,         , 0.17            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_INIT3               , -3.6e-05        ,         , -3.1e-06        ,         , 0.0018          ,         , -0.0014         ,        
Basic_INIT_VIEW1D         , -6.8e-05        ,         , 9.2e-05         ,         , 0.00038         ,         , 0.00082         ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00018         ,         , 1.1             ,OVER_TOL , 0.0036          ,         , 0.0047          ,        
Basic_MULADDSUB           , -0.0017         ,         , -0.0016         ,         , 0.18            ,OVER_TOL , 0.17            ,OVER_TOL
Basic_NESTED_INIT         , 3.1e-05         ,         , -0.051          ,         , 0.002           ,         , 0.15            ,OVER_TOL
Basic_PI_ATOMIC           , 3.8e-06         ,         , 1.5             ,OVER_TOL , -0.095          ,         , -0.094          ,        
Basic_REDUCE3_INT         , 2.7e-05         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.21            ,OVER_TOL
Basic_TRAP_INT            , -0.00022        ,         , -0.00038        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , -8.8e-05        ,         , -0.13           ,         , 0               ,         , 0.014           ,        
Lcals_EOS                 , 0.0029          ,         , 0.0012          ,         , 0               ,         , -0.00064        ,        
Lcals_FIRST_DIFF          , 0.0066          ,         , 0.0085          ,         , 0               ,         , -0.00094        ,        
Lcals_FIRST_MIN           , -0.1            ,         , 0.11            ,OVER_TOL , 0               ,         , -0.44           ,        
Lcals_FIRST_SUM           , 0.006           ,         , 0.0076          ,         , 0               ,         , 0.051           ,        
Lcals_GEN_LIN_RECUR       , -2.6e-05        ,         , 0.0008          ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.0016          ,         , 9.4e-05         ,         , 0               ,         , -0.0011         ,        
Lcals_HYDRO_2D            , -0.00089        ,         , 0.0015          ,         , 0               ,         , 0.026           ,        
Lcals_INT_PREDICT         , 0.00012         ,         , -0.00049        ,         , 0               ,         , -0.00071        ,        
Lcals_PLANCKIAN           , -0.00013        ,         , 1.1e-05         ,         , 0               ,         , -5.6e-05        ,        
Lcals_TRIDIAG_ELIM        , -0.0023         ,         , -0.002          ,         , 0               ,         , 0.0052          ,        
Stream_ADD                , 7e-05           ,         , 0.00028         ,         , 0.00097         ,         , 0.0011          ,        
Stream_COPY               , -0.0013         ,         , -0.28           ,         , -0.00025        ,         , -0.00066        ,        
Stream_DOT                , 3.1e-05         ,         , 0.016           ,         , 0               ,         , -0.22           ,        
Stream_MUL                , -0.00068        ,         , 0.00029         ,         , 0.0019          ,         , 0.0019          ,        
Stream_TRIAD              , 0.0015          ,         , 0.0048          ,         , 0.001           ,         , -0.00078        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.1            ,         , -0.28           ,         , -0.095          ,         , -0.44           ,        
Col Max                   , 0.018           ,         , 8.8             ,         , 0.18            ,         , inf             ,        
Col Avg                   , -0.0038         ,         , 0.32            ,         , 0.039           ,         , inf             ,        
Col Std Dev               , 0.00036         ,         , 2.2             ,         , 0.007           ,         , nan             ,        
