Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , RAJA_WORKGROUP_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.273046 ,   1.273034 , 1.271233 ,  0.008377 ,    0.008101 ,  0.008531 ,             Not run ,       Not run ,        Not run
Apps_ENERGY               , 1.349917 ,   1.347117 , 1.264425 ,  0.040738 ,     Not run ,  0.041062 ,             Not run ,       Not run ,        Not run
Apps_FIR                  , 1.539133 ,   1.538364 , 1.417496 ,  0.008139 ,     Not run ,  0.008577 ,             Not run ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.023680 ,   0.040934 , 0.042656 ,  0.040235 ,     Not run ,  0.040099 ,            0.003681 ,       Not run ,        Not run
Apps_LTIMES               , 1.750705 ,   1.751550 , 1.860498 ,  0.013270 ,    0.017032 ,  0.017416 ,             Not run ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.750638 ,   1.749954 , 1.860746 ,  0.013262 ,    0.017036 ,  0.017382 ,             Not run ,       Not run ,        Not run
Apps_PRESSURE             , 1.703817 ,   1.580233 , 1.575821 ,  0.063944 ,     Not run ,  0.063465 ,             Not run ,       Not run ,        Not run
Apps_VOL3D                , 1.279835 ,   1.279394 , 1.286902 ,  0.006322 ,     Not run ,  0.005426 ,             Not run ,       Not run ,        Not run
Basic_ATOMIC_PI           , 0.071691 ,   0.071673 , 0.180471 ,  0.379888 ,    0.379681 ,  0.388961 ,             Not run ,      4.093261 ,        Not run
Basic_DAXPY               , 0.260951 ,   0.260932 , 0.260154 ,  0.023121 ,    0.022846 ,  0.022909 ,             Not run ,      0.264775 ,        Not run
Basic_IF_QUAD             , 1.881554 ,   1.888392 , 1.890375 ,  0.009988 ,    0.010894 ,  0.010759 ,             Not run ,      0.100775 ,        Not run
Basic_INIT3               , 0.398134 ,   0.399158 , 0.399677 ,  0.022781 ,    0.022587 ,  0.022743 ,             Not run ,      0.276353 ,        Not run
Basic_INIT_VIEW1D         , 1.850014 ,   1.850088 , 1.850494 ,  0.032520 ,    0.032548 ,  0.032558 ,             Not run ,      0.309322 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719375 ,   1.719324 , 3.611112 ,  0.029888 ,    0.029908 ,  0.030051 ,             Not run ,      0.302970 ,        Not run
Basic_MULADDSUB           , 0.389682 ,   0.389703 , 0.389979 ,  0.015966 ,    0.017168 ,  0.017193 ,             Not run ,      0.193128 ,        Not run
Basic_NESTED_INIT         , 1.186961 ,   1.190112 , 1.190109 ,  0.011530 ,    0.011545 ,  0.011528 ,             Not run ,      0.040540 ,        Not run
Basic_REDUCE3_INT         , 0.038039 ,   0.038019 , 0.372922 ,  0.010340 ,     Not run ,  0.011423 ,             Not run ,      0.007559 ,        Not run
Basic_TRAP_INT            , 1.086865 ,   1.086847 , 1.086857 ,  0.059192 ,     Not run ,  0.034797 ,             Not run ,      0.129652 ,        Not run
Lcals_DIFF_PREDICT        , 0.778990 ,   0.779400 , 0.666264 ,  0.061060 ,     Not run ,  0.061049 ,             Not run ,      0.179370 ,        Not run
Lcals_EOS                 , 0.979589 ,   0.979850 , 0.980939 ,  0.023134 ,     Not run ,  0.023382 ,             Not run ,      0.271908 ,        Not run
Lcals_FIRST_DIFF          , 0.847983 ,   0.848856 , 0.848097 ,  0.073113 ,     Not run ,  0.072414 ,             Not run ,      0.843200 ,        Not run
Lcals_FIRST_MIN           , 0.166497 ,   0.166584 , 0.132275 ,  0.006879 ,     Not run ,  0.003783 ,             Not run ,      0.010254 ,        Not run
Lcals_FIRST_SUM           , 0.849813 ,   0.849263 , 0.850986 ,  0.087901 ,     Not run ,  0.088222 ,             Not run ,      0.916210 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.211981 ,   1.213537 , 1.213919 ,  0.045652 ,     Not run ,  0.045722 ,             Not run ,      0.546044 ,        Not run
Lcals_HYDRO_1D            , 1.063387 ,   1.064553 , 1.065760 ,  0.057224 ,     Not run ,  0.057184 ,             Not run ,      0.671686 ,        Not run
Lcals_HYDRO_2D            , 2.812714 ,   2.810548 , 2.833023 ,  0.045194 ,     Not run ,  0.048897 ,             Not run ,      0.076922 ,        Not run
Lcals_INT_PREDICT         , 1.085488 ,   1.095625 , 1.096382 ,  0.058272 ,     Not run ,  0.059698 ,             Not run ,      0.247184 ,        Not run
Lcals_PLANCKIAN           , 1.228155 ,   1.227971 , 1.275293 ,  0.002273 ,     Not run ,  0.002213 ,             Not run ,      0.025917 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.696304 ,   0.696065 , 0.696424 ,  0.030201 ,     Not run ,  0.030793 ,             Not run ,      0.285831 ,        Not run
Stream_ADD                , 0.703609 ,   0.706562 , 0.708167 ,  0.032518 ,    0.032571 ,  0.032592 ,             Not run ,      0.081504 ,        Not run
Stream_COPY               , 1.207175 ,   1.213358 , 0.974177 ,  0.042122 ,    0.042090 ,  0.042113 ,             Not run ,      0.132140 ,        Not run
Stream_DOT                , 3.292510 ,   3.292968 , 3.293111 ,  0.101664 ,     Not run ,  0.080675 ,             Not run ,      0.179866 ,        Not run
Stream_MUL                , 0.957281 ,   0.978363 , 0.981559 ,  0.042076 ,    0.042167 ,  0.042202 ,             Not run ,      0.132220 ,        Not run
Stream_TRIAD              , 0.659387 ,   0.660359 , 0.660782 ,  0.032516 ,    0.032511 ,  0.032531 ,             Not run ,      0.082021 ,        Not run
