Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , RAJA_WORKGROUP_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      0.999 ,    1.002 ,   149.620 ,     154.948 ,   149.334 ,             Not run ,       Not run ,        Not run
Apps_ENERGY               ,    1.000 ,      1.001 ,    1.068 ,    32.777 ,     Not run ,    32.413 ,             Not run ,       Not run ,        Not run
Apps_FIR                  ,    1.000 ,      1.001 ,    1.089 ,   201.478 ,     Not run ,   180.789 ,             Not run ,       Not run ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      1.438 ,    1.389 ,     1.010 ,     Not run ,     1.016 ,               9.942 ,       Not run ,        Not run
Apps_LTIMES               ,    1.000 ,      1.001 ,    0.942 ,   132.478 ,     103.034 ,   100.752 ,             Not run ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      1.000 ,    0.941 ,   132.429 ,     102.981 ,   100.871 ,             Not run ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.078 ,    1.081 ,    26.719 ,     Not run ,    26.976 ,             Not run ,       Not run ,        Not run
Apps_VOL3D                ,    1.000 ,      1.001 ,    0.996 ,   209.318 ,     Not run ,   241.041 ,             Not run ,       Not run ,        Not run
Basic_ATOMIC_PI           ,    1.000 ,      1.000 ,    0.397 ,     0.189 ,       0.189 ,     0.185 ,             Not run ,         0.018 ,        Not run
Basic_DAXPY               ,    1.000 ,      1.000 ,    1.003 ,    11.416 ,      11.522 ,    11.479 ,             Not run ,         0.985 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      0.998 ,    0.998 ,   187.010 ,     173.690 ,   172.564 ,             Not run ,        18.678 ,        Not run
Basic_INIT3               ,    1.000 ,      0.999 ,    0.997 ,    17.457 ,      17.388 ,    17.421 ,             Not run ,         1.445 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.000 ,    1.000 ,    56.298 ,      56.250 ,    57.052 ,             Not run ,         5.971 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    0.476 ,    57.034 ,      56.969 ,    56.773 ,             Not run ,         5.689 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.000 ,    0.999 ,    24.150 ,      22.427 ,    21.854 ,             Not run ,         2.014 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.000 ,    0.998 ,   103.248 ,     103.176 ,   103.231 ,             Not run ,        29.319 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.001 ,    0.103 ,     3.782 ,     Not run ,     3.451 ,             Not run ,         5.112 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.000 ,    1.000 ,    18.625 ,     Not run ,    31.698 ,             Not run ,         8.351 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      0.999 ,    1.167 ,    12.775 ,     Not run ,    12.755 ,             Not run ,         4.354 ,        Not run
Lcals_EOS                 ,    1.000 ,      1.000 ,    0.999 ,    42.847 ,     Not run ,    42.623 ,             Not run ,         3.619 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      0.999 ,    1.000 ,    11.962 ,     Not run ,    11.962 ,             Not run ,         1.004 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      0.940 ,    0.807 ,    12.227 ,     Not run ,    21.521 ,             Not run ,         7.976 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      1.000 ,    0.996 ,    11.932 ,     Not run ,    11.910 ,             Not run ,         1.002 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.000 ,    1.001 ,    27.006 ,     Not run ,    26.729 ,             Not run ,         2.228 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      0.999 ,    0.998 ,    18.780 ,     Not run ,    18.712 ,             Not run ,         1.582 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.000 ,    0.992 ,    62.591 ,     Not run ,    57.379 ,             Not run ,        36.647 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      0.982 ,    0.981 ,    18.477 ,     Not run ,    18.200 ,             Not run ,         4.415 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.000 ,    1.000 ,   514.624 ,     Not run ,   523.227 ,             Not run ,        47.464 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.003 ,    1.002 ,    21.182 ,     Not run ,    20.579 ,             Not run ,         2.451 ,        Not run
Stream_ADD                ,    1.000 ,      1.000 ,    0.999 ,    21.018 ,      20.993 ,    20.972 ,             Not run ,         8.373 ,        Not run
Stream_COPY               ,    1.000 ,      0.999 ,    1.293 ,    29.203 ,      29.202 ,    29.162 ,             Not run ,         9.146 ,        Not run
Stream_DOT                ,    1.000 ,      1.001 ,    1.000 ,    32.058 ,     Not run ,    40.876 ,             Not run ,        18.229 ,        Not run
Stream_MUL                ,    1.000 ,      0.997 ,    0.996 ,    23.311 ,      23.279 ,    23.225 ,             Not run ,         7.304 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.998 ,    0.997 ,    20.253 ,      20.268 ,    20.250 ,             Not run ,         8.064 ,        Not run
