FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , RAJA_CUDA       ,        
Basic_ATOMIC_PI           , -0.014          ,         , 1.5             ,OVER_TOL , -0.087          ,        
Basic_DAXPY               , 0.00072         ,         , 0.0014          ,         , -0.019          ,        
Basic_IF_QUAD             , 0.018           ,         , 0.018           ,         , 0.073           ,        
Basic_INIT3               , 0.00058         ,         , 0.0023          ,         , 0.00053         ,        
Basic_INIT_VIEW1D         , -3.4e-05        ,         , 0.00047         ,         , 0.00085         ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00097        ,         , 0.14            ,OVER_TOL , -0.036          ,        
Basic_MULADDSUB           , 9.1e-05         ,         , 0.0007          ,         , 0.063           ,        
Basic_NESTED_INIT         , 0.00012         ,         , -0.00012        ,         , 0.0019          ,        
Basic_REDUCE3_INT         , -0.0001         ,         , 0.0016          ,         , 0.27            ,OVER_TOL
Basic_TRAP_INT            , -9.8e-05        ,         , -0.00026        ,         , -0.39           ,        
                          ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.014          ,         , -0.00026        ,         , -0.39           ,        
Col Max                   , 0.018           ,         , 1.5             ,         , 0.27            ,        
Col Avg                   , 0.00037         ,         , 0.17            ,         , -0.012          ,        
Col Std Dev               , 5.2e-05         ,         , 0.19            ,         , 0.024           ,        
