FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , 0.0014          ,         , -0.003          ,         , 0.0022          ,         , 0.0028          ,        
Apps_ENERGY               , 0.00014         ,         , 0.00081         ,         , 0               ,         , -0.0014         ,        
Apps_FIR                  , -0.00078        ,         , -0.078          ,         , 0               ,         , 0.044           ,        
Apps_HALOEXCHANGE         , -0.033          ,         , -0.0037         ,         , 0               ,         , -0.014          ,        
Apps_LTIMES               , 0.0015          ,         , 0.063           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00047         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.00084        ,         , -0.0011         ,         , 0               ,         , 0.0053          ,        
Apps_VOL3D                , 0.00026         ,         , 0.0081          ,         , 0               ,         , -0.18           ,        
Basic_DAXPY               , 0.046           ,         , 0.058           ,         , 0.00037         ,         , 0.00097         ,        
Basic_IF_QUAD             , -0.0045         ,         , 0.0061          ,         , 0.2             ,OVER_TOL , 0.19            ,OVER_TOL
Basic_INIT3               , 7.2e-07         ,         , 0.00039         ,         , -0.0015         ,         , -0.0004         ,        
Basic_INIT_VIEW1D         , 1.1e-05         ,         , 6.7e-05         ,         , -0.00075        ,         , 0.0046          ,        
Basic_INIT_VIEW1D_OFFSET  , -3.9e-05        ,         , 1.1             ,OVER_TOL , 0.0036          ,         , 0.0093          ,        
Basic_MULADDSUB           , -0.006          ,         , -0.0062         ,         , 0.25            ,OVER_TOL , 0.22            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0082          ,         , 0.0018          ,         , 0.0024          ,        
Basic_PI_ATOMIC           , -0.00019        ,         , 1.5             ,OVER_TOL , -0.022          ,         , -0.026          ,        
Basic_REDUCE3_INT         , 8.8e-05         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.67            ,OVER_TOL
Basic_TRAP_INT            , 3.5e-05         ,         , 2.3e-05         ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , -0.00058        ,         , -0.12           ,         , 0               ,         , 0.0051          ,        
Lcals_EOS                 , 0.0012          ,         , 0.001           ,         , 0               ,         , -0.00071        ,        
Lcals_FIRST_DIFF          , 0.017           ,         , 0.019           ,         , 0               ,         , 0.00039         ,        
Lcals_FIRST_MIN           , -0.0014         ,         , 0.27            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.0096          ,         , 0.0061          ,         , 0               ,         , 0.051           ,        
Lcals_GEN_LIN_RECUR       , 5.9e-05         ,         , 0.00015         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00096         ,         , 0.001           ,         , 0               ,         , -0.001          ,        
Lcals_HYDRO_2D            , -0.0006         ,         , 0.0076          ,         , 0               ,         , 0.077           ,        
Lcals_INT_PREDICT         , -0.0002         ,         , -0.00037        ,         , 0               ,         , 0.0015          ,        
Lcals_PLANCKIAN           , 7.3e-05         ,         , 9.4e-06         ,         , 0               ,         , -0.0045         ,        
Lcals_TRIDIAG_ELIM        , -0.00066        ,         , -0.00048        ,         , 0               ,         , 0.0061          ,        
Stream_ADD                , 0.00082         ,         , 0.0011          ,         , 0.0022          ,         , 0.0012          ,        
Stream_COPY               , 0.0023          ,         , -0.31           ,         , 0.00062         ,         , 0.0012          ,        
Stream_DOT                , -0.00029        ,         , 0.0094          ,         , 0               ,         , -0.23           ,        
Stream_MUL                , 0.0066          ,         , 0.0074          ,         , 0.001           ,         , 0.0018          ,        
Stream_TRIAD              , -0.0011         ,         , 5.7e-05         ,         , 0.00029         ,         , 7.8e-05         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.033          ,         , -0.31           ,         , -0.022          ,         , -0.43           ,        
Col Max                   , 0.056           ,         , 8.8             ,         , 0.29            ,         , 0.67            ,        
Col Avg                   , 0.0028          ,         , 0.34            ,         , 0.067           ,         , 0.017           ,        
Col Std Dev               , 0.0002          ,         , 2.3             ,         , 0.013           ,         , 0.033           ,        
