FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , 0.0005          ,         , 1.5             ,OVER_TOL , -0.0029         ,         , 0.034           ,         , 0               ,        
Basic_DAXPY               , -8e-05          ,         , -0.0011         ,         , 0.024           ,         , 0.015           ,         , 0               ,        
Basic_IF_QUAD             , 0.018           ,         , 0.019           ,         , 0.082           ,         , 0.075           ,         , 0               ,        
Basic_INIT3               , -8.2e-05        ,         , 0.0011          ,         , 0.0013          ,         , -0.0081         ,         , 0               ,        
Basic_INIT_VIEW1D         , -4.3e-05        ,         , 0.00064         ,         , 0.00051         ,         , 0.0011          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 3.8e-05         ,         , 1.1             ,OVER_TOL , 0.0022          ,         , 0.0033          ,         , 0               ,        
Basic_MULADDSUB           , -0.00012        ,         , 0.00069         ,         , 0.077           ,         , 0.076           ,         , 0               ,        
Basic_NESTED_INIT         , 0.00013         ,         , 0.0029          ,         , 0.0022          ,         , 0.0013          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0002         ,         , 8.5             ,OVER_TOL , 0               ,         , 0.26            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.00012        ,         , -8.7e-05        ,         , 0               ,         , -0.38           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0002         ,         , -0.0011         ,         , -0.0029         ,         , -0.38           ,         , 1.8e+308        ,        
Col Max                   , 0.018           ,         , 8.5             ,         , 0.082           ,         , 0.26            ,         , -1.8e+308       ,        
Col Avg                   , 0.0018          ,         , 1.1             ,         , 0.023           ,         , 0.0074          ,         , 0               ,        
Col Std Dev               , 2.9e-05         ,         , 6.4             ,         , 0.0011          ,         , 0.023           ,         , 0               ,        
