FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00018        ,         , -0.0022         ,         , -0.0049         ,         , -0.00036        ,        
Apps_ENERGY               , 0.0017          ,         , -0.00075        ,         , 0               ,         , -0.0022         ,        
Apps_FIR                  , -1.7e-05        ,         , -0.078          ,         , 0               ,         , 0.046           ,        
Apps_HALOEXCHANGE         , -0.05           ,         , -0.037          ,         , 0               ,         , 0.058           ,        
Apps_LTIMES               , 0.0018          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.00041         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , 0.00017         ,         , 6.3e-06         ,         , 0               ,         , 0.0086          ,        
Apps_VOL3D                , -0.00035        ,         , 0.0075          ,         , 0               ,         , -0.14           ,        
Basic_DAXPY               , 0.041           ,         , 0.055           ,         , 0.00059         ,         , 0.00055         ,        
Basic_IF_QUAD             , -0.007          ,         , 0.0033          ,         , 0.16            ,OVER_TOL , 0.16            ,OVER_TOL
Basic_INIT3               , -0.00017        ,         , -0.00083        ,         , 0.00096         ,         , -0.001          ,        
Basic_INIT_VIEW1D         , -9.9e-08        ,         , 7.5e-05         ,         , -0.00038        ,         , -0.009          ,        
Basic_INIT_VIEW1D_OFFSET  , 3.8e-05         ,         , 1.1             ,OVER_TOL , 0.0041          ,         , 0.0053          ,        
Basic_MULADDSUB           , -0.0021         ,         , -0.0021         ,         , 0.17            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0083          ,         , 0.0033          ,         , 0.0079          ,        
Basic_PI_ATOMIC           , -0.00045        ,         , 1.5             ,OVER_TOL , -9.8e-05        ,         , 0.00018         ,        
Basic_REDUCE3_INT         , 3.8e-05         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.63            ,OVER_TOL
Basic_TRAP_INT            , -8.4e-05        ,         , -2.1e-05        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , 0.00038         ,         , -0.12           ,         , 0               ,         , 0.013           ,        
Lcals_EOS                 , 0.001           ,         , 0.00082         ,         , 0               ,         , -0.00045        ,        
Lcals_FIRST_DIFF          , 0.017           ,         , 0.02            ,         , 0               ,         , -0.00076        ,        
Lcals_FIRST_MIN           , -0.039          ,         , 0.19            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.011           ,         , 0.013           ,         , 0               ,         , 0.051           ,        
Lcals_GEN_LIN_RECUR       , 5.4e-05         ,         , 0.00013         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.0011          ,         , 0.0011          ,         , 0               ,         , 0.00057         ,        
Lcals_HYDRO_2D            , -0.00056        ,         , 0.0084          ,         , 0               ,         , 0.088           ,        
Lcals_INT_PREDICT         , 0.0026          ,         , 0.0029          ,         , 0               ,         , 0.0022          ,        
Lcals_PLANCKIAN           , 0.0004          ,         , 0.0004          ,         , 0               ,         , -0.0041         ,        
Lcals_TRIDIAG_ELIM        , 0.00022         ,         , 0.00033         ,         , 0               ,         , 0.0084          ,        
Stream_ADD                , 0.0027          ,         , 0.0016          ,         , 0.00076         ,         , 0.0016          ,        
Stream_COPY               , 0.00085         ,         , -0.3            ,         , 0.00014         ,         , -0.00017        ,        
Stream_DOT                , -0.00026        ,         , 0.0092          ,         , 0               ,         , -0.21           ,        
Stream_MUL                , 0.0099          ,         , 0.011           ,         , 0.0024          ,         , 0.0029          ,        
Stream_TRIAD              , 0.001           ,         , 0.003           ,         , -0.0012         ,         , -0.001          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.05           ,         , -0.3            ,         , -0.0049         ,         , -0.43           ,        
Col Max                   , 0.056           ,         , 8.8             ,         , 0.29            ,         , 0.63            ,        
Col Avg                   , 0.0015          ,         , 0.33            ,         , 0.061           ,         , 0.019           ,        
Col Std Dev               , 0.00028         ,         , 2.3             ,         , 0.011           ,         , 0.031           ,        
