Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.547598 ,   1.545179 , 1.540342 ,  0.006801 ,    0.006724 ,  0.006783 ,       Not run ,        Not run
Apps_ENERGY               , 1.604494 ,   1.604345 , 1.606289 ,  0.037780 ,     Not run ,  0.037757 ,       Not run ,        Not run
Apps_FIR                  , 1.856027 ,   1.856006 , 1.709545 ,  0.004173 ,     Not run ,  0.004346 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.037505 ,   0.036959 , 0.040074 ,  0.042826 ,     Not run ,  0.042553 ,       Not run ,        Not run
Apps_LTIMES               , 2.064270 ,   2.066026 , 2.190610 ,  0.015433 ,    0.019867 ,  0.020313 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 2.060380 ,   2.062670 , 2.186948 ,  0.015436 ,    0.019867 ,  0.020279 ,       Not run ,        Not run
Apps_PRESSURE             , 1.891239 ,   1.891606 , 1.891436 ,  0.046787 ,     Not run ,  0.046813 ,       Not run ,        Not run
Apps_VOL3D                , 1.977684 ,   1.977747 , 1.993384 ,  0.006107 ,     Not run ,  0.005243 ,       Not run ,        Not run
Basic_DAXPY               , 0.341127 ,   0.347663 , 0.349634 ,  0.016245 ,    0.016252 ,  0.016250 ,      0.045300 ,        Not run
Basic_IF_QUAD             , 2.273001 ,   2.263196 , 2.286837 ,  0.011708 ,    0.013863 ,  0.013925 ,      0.023638 ,        Not run
Basic_INIT3               , 0.655901 ,   0.655821 , 0.655980 ,  0.026986 ,    0.026974 ,  0.026989 ,      0.057405 ,        Not run
Basic_INIT_VIEW1D         , 2.230880 ,   2.230910 , 2.232196 ,  0.030491 ,    0.030478 ,  0.030636 ,      0.206281 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 2.073141 ,   2.073159 , 4.355355 ,  0.029619 ,    0.029694 ,  0.029834 ,      0.204118 ,        Not run
Basic_MULADDSUB           , 0.494199 ,   0.493082 , 0.493041 ,  0.018892 ,    0.022788 ,  0.023129 ,      0.040379 ,        Not run
Basic_NESTED_INIT         , 1.166841 ,   1.232806 , 1.176535 ,  0.017318 ,    0.017434 ,  0.017491 ,      0.084889 ,        Not run
Basic_PI_ATOMIC           , 0.143989 ,   0.143956 , 0.362716 ,  0.105397 ,    0.105358 ,  0.105425 ,      0.127434 ,        Not run
Basic_REDUCE3_INT         , 0.022921 ,   0.022921 , 0.224362 ,  0.005475 ,     Not run ,  0.009150 ,      0.004346 ,        Not run
Basic_TRAP_INT            , 0.327587 ,   0.327556 , 0.327548 ,  0.002548 ,     Not run ,  0.001620 ,      0.004100 ,        Not run
Lcals_DIFF_PREDICT        , 0.970307 ,   0.970110 , 0.846503 ,  0.051346 ,     Not run ,  0.051396 ,      0.079187 ,        Not run
Lcals_EOS                 , 1.185438 ,   1.187178 , 1.186944 ,  0.021848 ,     Not run ,  0.021937 ,      0.051792 ,        Not run
Lcals_FIRST_DIFF          , 1.308064 ,   1.329362 , 1.329557 ,  0.046401 ,     Not run ,  0.046426 ,      0.167363 ,        Not run
Lcals_FIRST_MIN           , 0.091769 ,   0.091746 , 0.114832 ,  0.006858 ,     Not run ,  0.003733 ,      0.010662 ,        Not run
Lcals_FIRST_SUM           , 1.317136 ,   1.326047 , 1.328708 ,  0.046388 ,     Not run ,  0.048760 ,      0.167071 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.514032 ,   1.513875 , 1.511363 ,  0.051794 ,     Not run ,  0.046423 ,      0.106761 ,        Not run
Lcals_HYDRO_1D            , 1.037386 ,   1.038551 , 1.038458 ,  0.032635 ,     Not run ,  0.032637 ,      0.090890 ,        Not run
Lcals_HYDRO_2D            , 1.678952 ,   1.676916 , 1.691723 ,  0.022638 ,     Not run ,  0.024642 ,      0.042531 ,        Not run
Lcals_INT_PREDICT         , 1.391937 ,   1.389386 , 1.394097 ,  0.045140 ,     Not run ,  0.045060 ,      0.068061 ,        Not run
Lcals_PLANCKIAN           , 1.621568 ,   1.621984 , 1.621344 ,  0.002688 ,     Not run ,  0.002660 ,      0.005733 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.105409 ,   1.102953 , 1.103407 ,  0.043319 ,     Not run ,  0.043553 ,      0.103128 ,        Not run
Stream_ADD                , 0.760492 ,   0.760999 , 0.761331 ,  0.032490 ,    0.032511 ,  0.032516 ,      0.090870 ,        Not run
Stream_COPY               , 1.451484 ,   1.456266 , 1.141518 ,  0.041422 ,    0.041429 ,  0.041451 ,      0.150117 ,        Not run
Stream_DOT                , 3.969268 ,   3.968647 , 4.001223 ,  0.110100 ,     Not run ,  0.083934 ,      0.203271 ,        Not run
Stream_MUL                , 1.140716 ,   1.157982 , 1.158947 ,  0.041471 ,    0.041541 ,  0.041559 ,      0.150263 ,        Not run
Stream_TRIAD              , 0.756668 ,   0.756119 , 0.756713 ,  0.032515 ,    0.032501 ,  0.032514 ,      0.090784 ,        Not run
