FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.0023         ,         , 1.5             ,OVER_TOL , -0.0037         ,         , 0.024           ,         , 0               ,        
Basic_DAXPY               , 0.00011         ,         , 0.0052          ,         , -0.0092         ,         , 0.057           ,         , 0               ,        
Basic_IF_QUAD             , 0.015           ,         , 0.018           ,         , 0.074           ,         , 0.076           ,         , 0               ,        
Basic_INIT3               , 0.00011         ,         , -3.3e-05        ,         , 0.00066         ,         , -0.0024         ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00032         ,         , 0.00014         ,         , 0.0009          ,         , 0.0018          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00036        ,         , 1.1             ,OVER_TOL , 0.0034          ,         , 0.0047          ,         , 0               ,        
Basic_MULADDSUB           , 0.0003          ,         , 0.00066         ,         , 0.077           ,         , 0.063           ,         , 0               ,        
Basic_NESTED_INIT         , 0.0034          ,         , 0.0025          ,         , 0.00081         ,         , 8.3e-05         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0004         ,         , 8.8             ,OVER_TOL , 0               ,         , 0.14            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.00077         ,         , -7.1e-05        ,         , 0               ,         , -0.39           ,         , 0               ,        
Stream_ADD                , 0.01            ,         , 0.011           ,         , 0.00047         ,         , 0.00069         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0023         ,         , -7.1e-05        ,         , -0.0092         ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.015           ,         , 8.8             ,         , 0.077           ,         , 0.14            ,         , -1.8e+308       ,        
Col Avg                   , 0.0025          ,         , 1               ,         , 0.016           ,         , -0.0025         ,         , 0               ,        
Col Std Dev               , 2.5e-05         ,         , 6.3             ,         , 0.001           ,         , 0.017           ,         , 0               ,        
