FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,         , RAJA_WORKGROUP_CUDA,        
Basic_ATOMIC_PI           , -0.00012        ,         , 1.5             ,OVER_TOL , -0.0033         ,         , 0.025           ,         , 0               ,        
Basic_DAXPY               , 5.2e-05         ,         , 0.0044          ,         , 0.05            ,         , 0.018           ,         , 0               ,        
Basic_IF_QUAD             , 0.015           ,         , 0.016           ,         , 0.079           ,         , 0.081           ,         , 0               ,        
Basic_INIT3               , 2.4e-05         ,         , -0.0011         ,         , 0.0084          ,         , 0.0037          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.00057         ,         , 0.0004          ,         , 0.00041         ,         , 0.0037          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00052        ,         , 1.1             ,OVER_TOL , 0.0024          ,         , 0.0058          ,         , 0               ,        
Basic_MULADDSUB           , 5.2e-05         ,         , 0.00073         ,         , 0.085           ,         , 0.085           ,         , 0               ,        
Basic_NESTED_INIT         , -0.0023         ,         , 0.0001          ,         , 0.0008          ,         , 0.00053         ,         , 0               ,        
Basic_REDUCE3_INT         , -0.00039        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.19            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , 0.00069         ,         , -3.8e-05        ,         , 0               ,         , -0.39           ,         , 0               ,        
Stream_ADD                , 0.011           ,         , 0.011           ,         , 0.00099         ,         , 0.0016          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.0023         ,         , -0.0011         ,         , -0.0033         ,         , -0.39           ,         , 1.8e+308        ,        
Col Max                   , 0.015           ,         , 8.8             ,         , 0.085           ,         , 0.19            ,         , -1.8e+308       ,        
Col Avg                   , 0.0022          ,         , 1               ,         , 0.025           ,         , 0.0028          ,         , 0               ,        
Col Std Dev               , 2.7e-05         ,         , 6.3             ,         , 0.0012          ,         , 0.018           ,         , 0               ,        
