FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_CUDA     ,         , RAJA_CUDA       ,        
Apps_DEL_DOT_VEC_2D       , -0.00017        ,         , -0.0099         ,         , -0.014          ,         , 0.0051          ,        
Apps_ENERGY               , 0.0031          ,         , -0.00036        ,         , 0               ,         , 0.0011          ,        
Apps_FIR                  , -0.00069        ,         , -0.078          ,         , 0               ,         , 0.046           ,        
Apps_HALOEXCHANGE         , -0.071          ,         , -0.0075         ,         , 0               ,         , -0.036          ,        
Apps_LTIMES               , 0.00039         ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.32            ,OVER_TOL
Apps_LTIMES_NOVIEW        , 0.0005          ,         , 0.062           ,         , 0.29            ,OVER_TOL , 0.31            ,OVER_TOL
Apps_PRESSURE             , -0.00075        ,         , -0.00095        ,         , 0               ,         , 0.0004          ,        
Apps_VOL3D                , 4.3e-05         ,         , 0.009           ,         , 0               ,         , -0.21           ,        
Basic_DAXPY               , 0.044           ,         , 0.046           ,         , -0.00013        ,         , 1.2e-05         ,        
Basic_IF_QUAD             , -0.0085         ,         , 0.0029          ,         , 0.19            ,OVER_TOL , 0.18            ,OVER_TOL
Basic_INIT3               , 0.00012         ,         , 0.00034         ,         , -0.0014         ,         , -0.00029        ,        
Basic_INIT_VIEW1D         , 8.4e-06         ,         , -1.3e-05        ,         , -0.00048        ,         , 0.0014          ,        
Basic_INIT_VIEW1D_OFFSET  , 9.5e-06         ,         , 1.1             ,OVER_TOL , 0.0035          ,         , 0.0051          ,        
Basic_MULADDSUB           , 0.0019          ,         , -0.0017         ,         , 0.25            ,OVER_TOL , 0.24            ,OVER_TOL
Basic_NESTED_INIT         , 0.056           ,         , 0.0081          ,         , 0.0089          ,         , 0.0064          ,        
Basic_PI_ATOMIC           , 0.00011         ,         , 1.5             ,OVER_TOL , -0.00023        ,         , 0.00029         ,        
Basic_REDUCE3_INT         , -0.00095        ,         , 8.8             ,OVER_TOL , 0               ,         , 0.79            ,OVER_TOL
Basic_TRAP_INT            , -0.00019        ,         , -0.00013        ,         , 0               ,         , -0.36           ,        
Lcals_DIFF_PREDICT        , -7.9e-05        ,         , -0.12           ,         , 0               ,         , 0.0083          ,        
Lcals_EOS                 , 0.0012          ,         , 0.0011          ,         , 0               ,         , 0.0003          ,        
Lcals_FIRST_DIFF          , 0.026           ,         , 0.029           ,         , 0               ,         , -0.00099        ,        
Lcals_FIRST_MIN           , -0.031          ,         , 0.21            ,OVER_TOL , 0               ,         , -0.43           ,        
Lcals_FIRST_SUM           , 0.015           ,         , 0.017           ,         , 0               ,         , 0.047           ,        
Lcals_GEN_LIN_RECUR       , 0.00022         ,         , -0.0029         ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.001           ,         , 0.00097         ,         , 0               ,         , -0.0019         ,        
Lcals_HYDRO_2D            , -0.00053        ,         , 0.0078          ,         , 0               ,         , 0.089           ,        
Lcals_INT_PREDICT         , 0.00011         ,         , 0.00016         ,         , 0               ,         , 0.0048          ,        
Lcals_PLANCKIAN           , -0.0013         ,         , -0.0013         ,         , 0               ,         , -0.006          ,        
Lcals_TRIDIAG_ELIM        , -0.00041        ,         , 8.1e-07         ,         , 0               ,         , 0.0077          ,        
Stream_ADD                , 0.0018          ,         , 0.0037          ,         , 0.0015          ,         , 0.0016          ,        
Stream_COPY               , 0.0019          ,         , -0.21           ,         , -0.001          ,         , -0.0018         ,        
Stream_DOT                , -0.00035        ,         , 0.0089          ,         , 0               ,         , -0.21           ,        
Stream_MUL                , 0.017           ,         , 0.02            ,         , 0.0013          ,         , 0.0021          ,        
Stream_TRIAD              , 0.0011          ,         , 0.0025          ,         , -0.0022         ,         , -0.00035        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.071          ,         , -0.21           ,         , -0.014          ,         , -0.43           ,        
Col Max                   , 0.056           ,         , 8.8             ,         , 0.29            ,         , 0.79            ,        
Col Avg                   , 0.0016          ,         , 0.34            ,         , 0.068           ,         , 0.021           ,        
Col Std Dev               , 0.00036         ,         , 2.3             ,         , 0.013           ,         , 0.039           ,        
