Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_CUDA , Lambda_CUDA , RAJA_CUDA , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 1.281210 ,   1.280955 , 1.279553 ,  0.006807 ,    0.006852 ,  0.006791 ,       Not run ,        Not run
Apps_ENERGY               , 1.348047 ,   1.347226 , 1.347967 ,  0.037713 ,     Not run ,  0.037736 ,       Not run ,        Not run
Apps_FIR                  , 1.539183 ,   1.539144 , 1.421233 ,  0.004163 ,     Not run ,  0.004364 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.034774 ,   0.037525 , 0.041987 ,  0.037442 ,     Not run ,  0.036835 ,       Not run ,        Not run
Apps_LTIMES               , 1.709859 ,   1.711250 , 1.814819 ,  0.015453 ,    0.019880 ,  0.020326 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 1.708634 ,   1.709293 , 1.816268 ,  0.015454 ,    0.019870 ,  0.020286 ,       Not run ,        Not run
Apps_PRESSURE             , 1.575801 ,   1.576064 , 1.578382 ,  0.046706 ,     Not run ,  0.047348 ,       Not run ,        Not run
Apps_VOL3D                , 1.635175 ,   1.635486 , 1.648464 ,  0.006367 ,     Not run ,  0.005361 ,       Not run ,        Not run
Basic_DAXPY               , 0.283575 ,   0.296583 , 0.299869 ,  0.016368 ,    0.016373 ,  0.016391 ,      0.040885 ,        Not run
Basic_IF_QUAD             , 1.886297 ,   1.876761 , 1.898302 ,  0.011685 ,    0.013811 ,  0.013821 ,      0.021941 ,        Not run
Basic_INIT3               , 0.581104 ,   0.581133 , 0.581160 ,  0.026744 ,    0.026715 ,  0.026708 ,      0.052349 ,        Not run
Basic_INIT_VIEW1D         , 1.850027 ,   1.850016 , 1.850187 ,  0.030570 ,    0.030543 ,  0.030735 ,      0.187950 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.719193 ,   1.719215 , 3.611788 ,  0.030528 ,    0.030626 ,  0.030536 ,      0.182036 ,        Not run
Basic_MULADDSUB           , 0.425858 ,   0.424614 , 0.424498 ,  0.018586 ,    0.022847 ,  0.022904 ,      0.036663 ,        Not run
Basic_NESTED_INIT         , 0.968882 ,   1.022322 , 0.975749 ,  0.017351 ,    0.017460 ,  0.017442 ,      0.075490 ,        Not run
Basic_PI_ATOMIC           , 0.119391 ,   0.119449 , 0.300853 ,  0.105200 ,    0.105173 ,  0.105228 ,      0.124190 ,        Not run
Basic_REDUCE3_INT         , 0.019010 ,   0.019017 , 0.186189 ,  0.005039 ,     Not run ,  0.008554 ,      0.003779 ,        Not run
Basic_TRAP_INT            , 0.271747 ,   0.271686 , 0.271708 ,  0.002365 ,     Not run ,  0.001531 ,      0.003591 ,        Not run
Lcals_DIFF_PREDICT        , 0.811086 ,   0.811127 , 0.711541 ,  0.051349 ,     Not run ,  0.051850 ,      0.077259 ,        Not run
Lcals_EOS                 , 0.983424 ,   0.984857 , 0.984732 ,  0.021764 ,     Not run ,  0.021778 ,      0.046981 ,        Not run
Lcals_FIRST_DIFF          , 1.095137 ,   1.112918 , 1.114779 ,  0.046271 ,     Not run ,  0.046285 ,      0.148254 ,        Not run
Lcals_FIRST_MIN           , 0.078605 ,   0.075843 , 0.095994 ,  0.006258 ,     Not run ,  0.003566 ,      0.009621 ,        Not run
Lcals_FIRST_SUM           , 1.098206 ,   1.110603 , 1.109938 ,  0.046258 ,     Not run ,  0.048633 ,      0.147932 ,        Not run
Lcals_GEN_LIN_RECUR       , 1.261655 ,   1.261798 , 1.261716 ,  0.051505 ,     Not run ,  0.046339 ,      0.096649 ,        Not run
Lcals_HYDRO_1D            , 0.863433 ,   0.864241 , 0.864407 ,  0.032585 ,     Not run ,  0.032623 ,      0.081421 ,        Not run
Lcals_HYDRO_2D            , 1.409503 ,   1.409214 , 1.421022 ,  0.022309 ,     Not run ,  0.024335 ,      0.038524 ,        Not run
Lcals_INT_PREDICT         , 1.183177 ,   1.182847 , 1.183340 ,  0.045119 ,     Not run ,  0.044996 ,      0.064305 ,        Not run
Lcals_PLANCKIAN           , 1.341678 ,   1.341677 , 1.341616 ,  0.002690 ,     Not run ,  0.002651 ,      0.005258 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.963959 ,   0.963869 , 0.964035 ,  0.043247 ,     Not run ,  0.043347 ,      0.093710 ,        Not run
Stream_ADD                , 0.662597 ,   0.663621 , 0.664737 ,  0.032466 ,    0.032511 ,  0.032514 ,      0.081604 ,        Not run
Stream_COPY               , 1.200958 ,   1.203229 , 0.845018 ,  0.041363 ,    0.041395 ,  0.041387 ,      0.133393 ,        Not run
Stream_DOT                , 3.292301 ,   3.291043 , 3.323254 ,  0.102827 ,     Not run ,  0.080459 ,      0.181857 ,        Not run
Stream_MUL                , 0.949127 ,   0.958671 , 0.959567 ,  0.041459 ,    0.041524 ,  0.041536 ,      0.133049 ,        Not run
Stream_TRIAD              , 0.661271 ,   0.662467 , 0.661343 ,  0.032469 ,    0.032409 ,  0.032483 ,      0.081698 ,        Not run
